datetime,IF1912,IF1909,spread,open,high,low,close,index_volatility,volatility_a
2019/6/12 9:32,3658.8,3664.4,-5.6,3706.23,3706.23,3700.74,3700.74,26.42106576369696,-0.3249336432957115
2019/6/12 9:33,3663.6,3669.0,-5.4,3700.74,3705.75,3700.74,3705.75,26.082518496290064,-0.338547267406895
2019/6/12 9:34,3659.0,3666.4,-7.4,3705.75,3707.27,3705.75,3706.42,25.82814491721192,-0.25437357907814473
2019/6/12 9:35,3655.0,3660.8,-5.8,3706.42,3706.88,3698.99,3698.99,25.54714268817488,-0.2810022290370391
2019/6/12 9:36,3652.4,3656.8,-4.4,3698.99,3698.99,3695.72,3695.72,25.282676102836813,-0.26446658533806655
2019/6/12 9:37,3651.0,3658.4,-7.4,3695.72,3696.29,3695.1,3695.82,25.037780523077643,-0.2448955797591701
2019/6/12 9:38,3653.4,3661.2,-7.8,3695.82,3698.38,3695.35,3698.38,24.736039319897525,-0.3017412031801179
2019/6/12 9:39,3648.6,3657.0,-8.4,3698.38,3699.57,3698.38,3699.14,24.42251202195586,-0.3135272979416648
2019/6/12 9:40,3653.4,3663.0,-9.6,3699.14,3702.21,3699.14,3702.21,24.171904047465276,-0.2506079744905847
2019/6/12 9:41,3649.0,3660.8,-11.8,3702.21,3705.64,3702.21,3705.56,23.95263588021362,-0.21926816725165565
2019/6/12 9:42,3652.0,3663.4,-11.4,3705.56,3706.41,3705.35,3706.18,23.7282695431012,-0.22436633711242138
2019/6/12 9:43,3643.4,3657.2,-13.8,3706.18,3706.37,3702.3,3702.3,23.511795087906677,-0.2164744551945219
2019/6/12 9:44,3644.6,3658.2,-13.6,3702.3,3702.3,3699.76,3699.97,23.26236292899925,-0.2494321589074282
2019/6/12 9:45,3644.2,3657.0,-12.8,3699.97,3702.37,3699.97,3702.37,23.00823244773792,-0.25413048126132765
2019/6/12 9:46,3645.6,3658.2,-12.6,3702.37,3702.77,3702.3,3702.3,22.754995849292246,-0.2532365984456746
2019/6/12 9:47,3643.2,3656.2,-13.0,3702.3,3702.71,3701.15,3701.15,22.524486003150006,-0.23050984614224035
