datetime,IF2012,IF2009,spread,open,high,low,close,index_volatility,volatility_a
2020/6/17 9:32,3793.8,3851.6,-57.8,4004.86,4004.86,4004.86,4004.86,5.48643645387242,-0.03356203368435917
2020/6/17 9:33,3793.0,3854.2,-61.2,4003.26,4003.26,4003.26,4003.26,5.453777623844312,-0.0326588300281081
2020/6/17 9:34,3791.4,3852.6,-61.2,4002.31,4002.31,4002.31,4002.31,5.400228483860491,-0.05354913998382127
2020/6/17 9:35,3793.4,3855.6,-62.2,4005.03,4005.03,4005.03,4005.03,5.388165738478127,-0.012062745382363183
2020/6/17 9:36,3794.6,3856.4,-61.8,4006.74,4006.74,4006.74,4006.74,5.3944607612022875,0.006295022724160049
2020/6/17 9:37,3795.6,3857.8,-62.2,4010.14,4010.14,4010.14,4010.14,5.414732698617992,0.020271937415704322
2020/6/17 9:38,3794.2,3856.4,-62.2,4007.68,4007.68,4007.68,4007.68,5.420264039180916,0.005531340562924036
2020/6/17 9:39,3796.0,3858.0,-62.0,4009.64,4009.64,4009.64,4009.64,5.436908464113405,0.01664442493248952
2020/6/17 9:40,3800.0,3862.0,-62.0,4011.38,4011.38,4011.38,4011.38,5.4618703947348255,0.02496193062142016
2020/6/17 9:41,3801.0,3862.6,-61.6,4012.78,4012.78,4012.78,4012.78,5.498442362596892,0.0365719678620664
2020/6/17 9:42,3801.8,3862.8,-61.0,4015.25,4015.25,4015.25,4015.25,5.5537488695552675,0.05530650695837558
2020/6/17 9:43,3801.6,3863.2,-61.6,4016.51,4016.51,4016.51,4016.51,5.620748324595961,0.06699945504069316
2020/6/17 9:44,3800.6,3865.0,-64.4,4013.36,4013.36,4013.36,4013.36,5.659921967825654,0.03917364322969341
2020/6/17 9:45,3801.2,3865.0,-63.8,4016.33,4016.33,4016.33,4016.33,5.723609700860318,0.06368773303466391
2020/6/17 9:46,3800.0,3863.4,-63.4,4015.5,4015.5,4015.5,4015.5,5.775409331382942,0.05179963052262426
2020/6/17 9:47,3797.8,3862.0,-64.2,4013.85,4013.85,4013.85,4013.85,5.815042028760426,0.03963269737748387
2020/6/17 9:48,3801.2,3864.8,-63.6,4015.04,4015.04,4015.04,4015.04,5.864680906959825,0.04963887819939927
2020/6/17 9:49,3801.0,3865.0,-64.0,4016.55,4016.55,4016.55,4016.55,5.92581661372987,0.06113570677004443
2020/6/17 9:50,3798.2,3862.8,-64.6,4013.04,4013.04,4013.04,4013.04,5.958742149075902,0.03292553534603204
2020/6/17 9:51,3797.0,3860.0,-63.0,4012.52,4012.52,4012.52,4012.52,5.987707101388577,0.028964952312675152
2020/6/17 9:52,3797.0,3860.4,-63.4,4011.33,4011.33,4011.33,4011.33,6.009376989402572,0.021669888013994942
2020/6/17 9:53,3799.0,3861.8,-62.8,4011.2,4011.2,4011.2,4011.2,6.029792700444228,0.020415711041656515
2020/6/17 9:54,3798.0,3860.4,-62.4,4012.2,4012.2,4012.2,4012.2,6.051043701197094,0.02125100075286568
2020/6/17 9:55,3797.0,3859.0,-62.0,4009.64,4009.64,4009.64,4009.64,6.05414607256579,0.0031023713686959553
2020/6/17 9:56,3796.0,3858.4,-62.4,4008.61,4008.61,4008.61,4008.61,6.059314036494707,0.005167963928917274
2020/6/17 9:57,3796.6,3858.4,-61.8,4009.41,4009.41,4009.41,4009.41,6.0680474298482805,0.008733393353573149
2020/6/17 9:58,3795.4,3858.6,-63.2,4009.1,4009.1,4009.1,4009.1,6.070134589984921,0.0020871601366403425
2020/6/17 9:59,3795.0,3858.6,-63.6,4008.1,4008.1,4008.1,4008.1,6.070233569070065,9.8979085144002e-05
2020/6/17 10:00,3795.2,3856.6,-61.4,4006.67,4006.67,4006.67,4006.67,6.069418779493001,-0.0008147895770642677
2020/6/17 10:01,3794.8,3856.0,-61.2,4005.96,4005.96,4005.96,4005.96,6.071040061832814,0.0016212823398138454
2020/6/17 10:02,3795.8,3857.2,-61.4,4006.28,4006.28,4006.28,4006.28,6.072989835089041,0.0019497732562268055
2020/6/17 10:03,3797.6,3859.8,-62.2,4010.39,4010.39,4010.39,4010.39,6.08614882136205,0.013158986273008821
2020/6/17 10:04,3795.8,3859.2,-63.4,4010.21,4010.21,4010.21,4010.21,6.091349942853919,0.005201121491868577
2020/6/17 10:05,3797.4,3860.2,-62.8,4010.92,4010.92,4010.92,4010.92,6.098869261355731,0.007519318501812755
2020/6/17 10:06,3797.6,3860.8,-63.2,4011.11,4011.11,4011.11,4011.11,6.106609431762252,0.007740170406520974
2020/6/17 10:07,3797.4,3860.2,-62.8,4012.0,4012.0,4012.0,4012.0,6.114146887842403,0.007537456080150662
2020/6/17 10:08,3798.2,3861.8,-63.6,4011.81,4011.81,4011.81,4011.81,6.103592372631247,-0.010554515211156357
2020/6/17 10:09,3800.2,3860.4,-60.2,4012.33,4012.33,4012.33,4012.33,6.0922860362003,-0.011306336430946473
2020/6/17 10:10,3798.0,3858.4,-60.4,4009.75,4009.75,4009.75,4009.75,6.087891920018006,-0.004394116182294461
2020/6/17 10:11,3797.8,3859.2,-61.4,4009.8,4009.8,4009.8,4009.8,6.0781328343285965,-0.009759085689409197
2020/6/17 10:12,3797.8,3857.4,-59.6,4009.48,4009.48,4009.48,4009.48,6.056682876128885,-0.021449958199711183
2020/6/17 10:13,3796.0,3856.8,-60.8,4008.12,4008.12,4008.12,4008.12,6.036573992282233,-0.020108883846652326
2020/6/17 10:14,3795.0,3857.4,-62.4,4007.79,4007.79,4007.79,4007.79,6.008068639423141,-0.02850535285909217
2020/6/17 10:15,3796.0,3858.8,-62.8,4008.9,4008.9,4008.9,4008.9,5.975285127202845,-0.03278351222029574
2020/6/17 10:16,3796.2,3857.4,-61.2,4008.49,4008.49,4008.49,4008.49,5.928191644445664,-0.04709348275718117
2020/6/17 10:17,3797.0,3858.6,-61.6,4009.38,4009.38,4009.38,4009.38,5.873177033555619,-0.05501461089004511
2020/6/17 10:18,3797.2,3859.6,-62.4,4011.13,4011.13,4011.13,4011.13,5.8177736284221,-0.055403405133518824
2020/6/17 10:19,3797.6,3860.8,-63.2,4012.28,4012.28,4012.28,4012.28,5.786377690229715,-0.03139593819238495
2020/6/17 10:20,3795.2,3859.6,-64.4,4010.65,4010.65,4010.65,4010.65,5.751289027681822,-0.035088662547893
2020/6/17 10:21,3795.4,3859.6,-64.2,4011.06,4011.06,4011.06,4011.06,5.717515094310638,-0.03377393337118395
