datetime,open,high,low,close
2019/1/1 9:30,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:31,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:32,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:33,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:34,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:35,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:36,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:37,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:38,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:39,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:40,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:41,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:42,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:43,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:44,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:45,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:46,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:47,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:48,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:49,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:50,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:51,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:52,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:53,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:54,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:55,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:56,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:57,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:58,3010.65,3010.65,3010.65,3010.65
2019/1/1 9:59,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:00,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:01,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:02,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:03,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:04,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:05,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:06,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:07,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:08,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:09,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:10,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:11,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:12,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:13,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:14,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:15,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:16,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:17,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:18,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:19,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:20,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:21,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:22,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:23,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:24,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:25,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:26,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:27,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:28,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:29,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:30,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:31,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:32,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:33,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:34,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:35,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:36,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:37,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:38,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:39,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:40,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:41,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:42,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:43,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:44,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:45,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:46,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:47,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:48,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:49,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:50,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:51,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:52,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:53,3010.65,3010.65,3010.65,3010.65
2019/1/1 10:54,3010.65,3010.65,3010.65,3010.65
