datetime,IC2009,IC2006,spread
2020-03-17 09:30:00,5002.4,5127.2,-124.8
2020-03-17 09:31:00,4955.2,5074,-118.8
2020-03-17 09:32:00,4961,5080.6,-119.6
2020-03-17 09:33:00,4961.4,5077.2,-115.8
2020-03-17 09:34:00,4943.2,5063.8,-120.6
2020-03-17 09:35:00,4942,5055.8,-113.8
2020-03-17 09:36:00,4921.8,5042.6,-120.8
2020-03-17 09:37:00,4930.8,5047.6,-116.8
2020-03-17 09:38:00,4907.6,5023.2,-115.6
2020-03-17 09:39:00,4900.8,5016.6,-115.8
2020-03-17 09:40:00,4926.8,5043,-116.2
2020-03-17 09:41:00,4926.4,5041.4,-115
2020-03-17 09:42:00,4927.4,5043,-115.6
2020-03-17 09:43:00,4939.8,5059.4,-119.6
2020-03-17 09:44:00,4939.6,5057.4,-117.8
2020-03-17 09:45:00,4932.6,5052.2,-119.6
2020-03-17 09:46:00,4920.2,5037.6,-117.4
2020-03-17 09:47:00,4935.2,5049.6,-114.4
2020-03-17 09:48:00,4926.4,5042.8,-116.4
2020-03-17 09:49:00,4920.8,5036.2,-115.4
2020-03-17 09:50:00,4910,5026.8,-116.8
2020-03-17 09:51:00,4910,5024.4,-114.4
2020-03-17 09:52:00,4904,5020.4,-116.4
2020-03-17 09:53:00,4916.6,5033.6,-117
2020-03-17 09:54:00,4898.6,5013.6,-115
2020-03-17 09:55:00,4909,5025.6,-116.6
2020-03-17 09:56:00,4890.8,5012.2,-121.4
2020-03-17 09:57:00,4894.2,5006.6,-112.4
2020-03-17 09:58:00,4883.4,4998,-114.6
2020-03-17 09:59:00,4883.8,4997.6,-113.8
2020-03-17 10:00:00,4896.2,5015,-118.8
2020-03-17 10:01:00,4895,5010.4,-115.4
2020-03-17 10:02:00,4904.6,5019.2,-114.6
2020-03-17 10:03:00,4900.2,5018,-117.8
2020-03-17 10:04:00,4888.6,5003.6,-115
2020-03-17 10:05:00,4878.4,4994.8,-116.4
2020-03-17 10:06:00,4877.4,4992.2,-114.8
2020-03-17 10:07:00,4877,4990,-113
2020-03-17 10:08:00,4860,4973.2,-113.2
2020-03-17 10:09:00,4860.4,4974.8,-114.4
2020-03-17 10:10:00,4853.6,4968,-114.4
2020-03-17 10:11:00,4851,4965.4,-114.4
2020-03-17 10:12:00,4869.6,4982.6,-113
2020-03-17 10:13:00,4855,4966,-111
2020-03-17 10:14:00,4847.2,4958.8,-111.6
2020-03-17 10:15:00,4844.4,4954.8,-110.4
2020-03-17 10:16:00,4834.2,4945.2,-111
2020-03-17 10:17:00,4826,4939,-113
2020-03-17 10:18:00,4791,4905.2,-114.2
2020-03-17 10:19:00,4810,4918.8,-108.8
2020-03-17 10:20:00,4830,4935.8,-105.8
2020-03-17 10:21:00,4823.2,4931.8,-108.6
2020-03-17 10:22:00,4827.4,4927.4,-100
2020-03-17 10:23:00,4846.4,4960,-113.6
2020-03-17 10:24:00,4855.6,4969.6,-114
2020-03-17 10:25:00,4847.8,4959.2,-111.4
2020-03-17 10:26:00,4833,4944.6,-111.6
2020-03-17 10:27:00,4839.6,4951.8,-112.2
2020-03-17 10:28:00,4833.6,4942,-108.4
2020-03-17 10:29:00,4856.4,4968.4,-112
2020-03-17 10:30:00,4861.6,4977.6,-116
2020-03-17 10:31:00,4861,4973.4,-112.4
2020-03-17 10:32:00,4861.6,4977.4,-115.8
2020-03-17 10:33:00,4874,4988.4,-114.4
2020-03-17 10:34:00,4851.2,4968.8,-117.6
2020-03-17 10:35:00,4852.6,4963.6,-111
2020-03-17 10:36:00,4852,4963.6,-111.6
2020-03-17 10:37:00,4850.2,4963.6,-113.4
2020-03-17 10:38:00,4855,4970.8,-115.8
2020-03-17 10:39:00,4869.6,4985.4,-115.8
2020-03-17 10:40:00,4873.8,4991.4,-117.6
2020-03-17 10:41:00,4873.4,4988,-114.6
2020-03-17 10:42:00,4886.4,5003.8,-117.4
2020-03-17 10:43:00,4883,4998.8,-115.8
2020-03-17 10:44:00,4890,5006,-116
2020-03-17 10:45:00,4913.4,5031.8,-118.4
2020-03-17 10:46:00,4907.4,5026.2,-118.8
2020-03-17 10:47:00,4908.8,5023.2,-114.4
2020-03-17 10:48:00,4908.6,5021.8,-113.2
2020-03-17 10:49:00,4907.6,5025.6,-118
2020-03-17 10:50:00,4885.4,5000.4,-115
2020-03-17 10:51:00,4885,5000.8,-115.8
2020-03-17 10:52:00,4885.4,5001.2,-115.8
2020-03-17 10:53:00,4888,5004.4,-116.4
2020-03-17 10:54:00,4890.2,5005.4,-115.2
2020-03-17 10:55:00,4906,5023.2,-117.2
2020-03-17 10:56:00,4908.4,5027.8,-119.4
2020-03-17 10:57:00,4895.2,5018.4,-123.2
2020-03-17 10:58:00,4887,5005.6,-118.6
2020-03-17 10:59:00,4882,5001.2,-119.2
2020-03-17 11:00:00,4880,4996.6,-116.6
2020-03-17 11:01:00,4891.6,5014.6,-123
2020-03-17 11:02:00,4888,5010.8,-122.8
2020-03-17 11:03:00,4902.4,5022,-119.6
2020-03-17 11:04:00,4912.4,5030.8,-118.4
2020-03-17 11:05:00,4920.4,5043.2,-122.8
2020-03-17 11:06:00,4917.8,5040.6,-122.8
2020-03-17 11:07:00,4926.8,5050.2,-123.4
2020-03-17 11:08:00,4922.2,5044.8,-122.6
2020-03-17 11:09:00,4920.8,5041,-120.2
2020-03-17 11:10:00,4913.2,5030,-116.8
2020-03-17 11:11:00,4912,5031,-119
2020-03-17 11:12:00,4897,5016.6,-119.6
2020-03-17 11:13:00,4899,5015.6,-116.6
2020-03-17 11:14:00,4889.2,5001.4,-112.2
2020-03-17 11:15:00,4902.4,5015,-112.6
2020-03-17 11:16:00,4892,5006.4,-114.4
2020-03-17 11:17:00,4891.8,5007.6,-115.8
2020-03-17 11:18:00,4903.8,5023.4,-119.6
2020-03-17 11:19:00,4911,5029,-118
2020-03-17 11:20:00,4917.4,5036.8,-119.4
2020-03-17 11:21:00,4906.2,5027.2,-121
2020-03-17 11:22:00,4899.4,5008.4,-109
2020-03-17 11:23:00,4907.4,5030.4,-123
2020-03-17 11:24:00,4909,5028.6,-119.6
2020-03-17 11:25:00,4916.6,5034.2,-117.6
2020-03-17 11:26:00,4921.4,5043.2,-121.8
2020-03-17 11:27:00,4930,5055,-125
2020-03-17 11:28:00,4947.6,5069.6,-122
2020-03-17 11:29:00,4949.6,5072,-122.4
2020-03-17 13:00:00,4949.2,5071.2,-122
2020-03-17 13:01:00,4953.6,5076.4,-122.8
2020-03-17 13:02:00,4954.8,5082,-127.2
2020-03-17 13:03:00,4947,5070.2,-123.2
2020-03-17 13:04:00,4940.2,5064.6,-124.4
2020-03-17 13:05:00,4939.2,5063.4,-124.2
2020-03-17 13:06:00,4937,5062.6,-125.6
2020-03-17 13:07:00,4939.4,5063.4,-124
2020-03-17 13:08:00,4935,5059.6,-124.6
2020-03-17 13:09:00,4931,5053.2,-122.2
2020-03-17 13:10:00,4915,5040.8,-125.8
2020-03-17 13:11:00,4915.4,5038.2,-122.8
2020-03-17 13:12:00,4911.8,5036,-124.2
2020-03-17 13:13:00,4913,5038.6,-125.6
2020-03-17 13:14:00,4907.4,5030,-122.6
2020-03-17 13:15:00,4917,5042.8,-125.8
2020-03-17 13:16:00,4914.2,5040.2,-126
2020-03-17 13:17:00,4906,5024.4,-118.4
2020-03-17 13:18:00,4902,5021.8,-119.8
2020-03-17 13:19:00,4902.2,5022.4,-120.2
2020-03-17 13:20:00,4908,5029,-121
2020-03-17 13:21:00,4902,5026,-124
2020-03-17 13:22:00,4903,5023.2,-120.2
2020-03-17 13:23:00,4907,5029.2,-122.2
2020-03-17 13:24:00,4911.6,5035,-123.4
2020-03-17 13:25:00,4900,5018.2,-118.2
2020-03-17 13:26:00,4894,5012,-118
2020-03-17 13:27:00,4889.4,5007.4,-118
2020-03-17 13:28:00,4890.8,5008,-117.2
2020-03-17 13:29:00,4889.8,5008,-118.2
2020-03-17 13:30:00,4885,5001,-116
2020-03-17 13:31:00,4893.8,5014,-120.2
2020-03-17 13:32:00,4902.6,5022,-119.4
2020-03-17 13:33:00,4894.6,5013.2,-118.6
2020-03-17 13:34:00,4875,4992.6,-117.6
2020-03-17 13:35:00,4872,4988,-116
2020-03-17 13:36:00,4870,4989.4,-119.4
2020-03-17 13:37:00,4875,4992.4,-117.4
2020-03-17 13:38:00,4869.4,4989.4,-120
2020-03-17 13:39:00,4878.6,4999.4,-120.8
2020-03-17 13:40:00,4873.4,4989.8,-116.4
2020-03-17 13:41:00,4887.4,5008.2,-120.8
2020-03-17 13:42:00,4897,5016,-119
2020-03-17 13:43:00,4892.6,5013,-120.4
2020-03-17 13:44:00,4893,5009,-116
2020-03-17 13:45:00,4903,5023,-120
2020-03-17 13:46:00,4890,5006.2,-116.2
2020-03-17 13:47:00,4873,4993.8,-120.8
2020-03-17 13:48:00,4870.4,4988.8,-118.4
2020-03-17 13:49:00,4868.8,4981.4,-112.6
2020-03-17 13:50:00,4860.2,4978.6,-118.4
2020-03-17 13:51:00,4868,4979,-111
2020-03-17 13:52:00,4860,4975.4,-115.4
2020-03-17 13:53:00,4869.8,4990.4,-120.6
2020-03-17 13:54:00,4861.4,4983.8,-122.4
2020-03-17 13:55:00,4860,4977.8,-117.8
2020-03-17 13:56:00,4866,4984.8,-118.8
2020-03-17 13:57:00,4863.8,4984.4,-120.6
2020-03-17 13:58:00,4874,4994.4,-120.4
2020-03-17 13:59:00,4876.8,4995.4,-118.6
2020-03-17 14:00:00,4866.6,4980.6,-114
2020-03-17 14:01:00,4866.6,4980.2,-113.6
2020-03-17 14:02:00,4864,4980.4,-116.4
2020-03-17 14:03:00,4853.2,4979.2,-126
2020-03-17 14:04:00,4857.6,4974,-116.4
2020-03-17 14:05:00,4867.4,4986.8,-119.4
2020-03-17 14:06:00,4863.6,4983,-119.4
2020-03-17 14:07:00,4860.4,4977.2,-116.8
2020-03-17 14:08:00,4863,4979.6,-116.6
2020-03-17 14:09:00,4888.8,5007.6,-118.8
2020-03-17 14:10:00,4894.8,5015.4,-120.6
2020-03-17 14:11:00,4892,5014.4,-122.4
2020-03-17 14:12:00,4881.4,5005.8,-124.4
2020-03-17 14:13:00,4884.6,5006.8,-122.2
2020-03-17 14:14:00,4889.6,5007.4,-117.8
2020-03-17 14:15:00,4875.2,4996,-120.8
2020-03-17 14:16:00,4876.6,4997.2,-120.6
2020-03-17 14:17:00,4881,5002,-121
2020-03-17 14:18:00,4884,5006.4,-122.4
2020-03-17 14:19:00,4899.8,5021.4,-121.6
2020-03-17 14:20:00,4907,5027.8,-120.8
2020-03-17 14:21:00,4901.8,5024.8,-123
2020-03-17 14:22:00,4902,5021,-119
2020-03-17 14:23:00,4894.8,5013.2,-118.4
2020-03-17 14:24:00,4895.4,5011,-115.6
2020-03-17 14:25:00,4884,5000.4,-116.4
2020-03-17 14:26:00,4891.4,5000,-108.6
2020-03-17 14:27:00,4870.2,4992.2,-122
2020-03-17 14:28:00,4885,5007.4,-122.4
2020-03-17 14:29:00,4888.8,5005.6,-116.8
2020-03-17 14:30:00,4887.8,5010,-122.2
2020-03-17 14:31:00,4890.6,5011.8,-121.2
2020-03-17 14:32:00,4876.8,4996.2,-119.4
2020-03-17 14:33:00,4863.8,4985,-121.2
2020-03-17 14:34:00,4874.4,4993,-118.6
2020-03-17 14:35:00,4872.2,4996.4,-124.2
2020-03-17 14:36:00,4874.2,4996.4,-122.2
2020-03-17 14:37:00,4871.6,4991.8,-120.2
2020-03-17 14:38:00,4885,5003,-118
2020-03-17 14:39:00,4878.2,4994.4,-116.2
2020-03-17 14:40:00,4866.8,4989.4,-122.6
2020-03-17 14:41:00,4860.6,4980.2,-119.6
2020-03-17 14:42:00,4865,4985.2,-120.2
2020-03-17 14:43:00,4876.2,4995.6,-119.4
2020-03-17 14:44:00,4876.2,4997.4,-121.2
2020-03-17 14:45:00,4877.6,4998.8,-121.2
2020-03-17 14:46:00,4875.4,4999,-123.6
2020-03-17 14:47:00,4884.2,5002.4,-118.2
2020-03-17 14:48:00,4882.6,5003.6,-121
2020-03-17 14:49:00,4888,5010.6,-122.6
2020-03-17 14:50:00,4887.8,5008,-120.2
2020-03-17 14:51:00,4889.8,5011,-121.2
2020-03-17 14:52:00,4894.4,5013.8,-119.4
2020-03-17 14:53:00,4894.8,5017.4,-122.6
2020-03-17 14:54:00,4897.2,5018.8,-121.6
2020-03-17 14:55:00,4896.4,5019.4,-123
2020-03-17 14:56:00,4898,5019,-121
2020-03-17 14:57:00,4893.6,5015.4,-121.8
2020-03-17 14:58:00,4893.8,5013.4,-119.6
2020-03-17 14:59:00,4889.8,5007,-117.2
2020-03-18 09:30:00,4905.4,5031.8,-126.4
2020-03-18 09:31:00,4923.6,5043.4,-119.8
2020-03-18 09:32:00,4932.2,5055.2,-123
2020-03-18 09:33:00,4921.8,5045,-123.2
2020-03-18 09:34:00,4925,5050.4,-125.4
2020-03-18 09:35:00,4939.8,5064.4,-124.6
2020-03-18 09:36:00,4934.8,5059.2,-124.4
2020-03-18 09:37:00,4945,5066,-121
2020-03-18 09:38:00,4944.4,5067.8,-123.4
2020-03-18 09:39:00,4936.6,5058.2,-121.6
2020-03-18 09:40:00,4928.2,5050,-121.8
2020-03-18 09:41:00,4938.6,5060.6,-122
2020-03-18 09:42:00,4949,5073.6,-124.6
2020-03-18 09:43:00,4950.4,5073,-122.6
2020-03-18 09:44:00,4950.8,5078,-127.2
2020-03-18 09:45:00,4961.4,5087,-125.6
2020-03-18 09:46:00,4969.2,5095.6,-126.4
2020-03-18 09:47:00,4965.2,5091,-125.8
2020-03-18 09:48:00,4975,5099.4,-124.4
2020-03-18 09:49:00,4975.6,5100.6,-125
2020-03-18 09:50:00,4972.8,5096,-123.2
2020-03-18 09:51:00,4977.8,5101.6,-123.8
2020-03-18 09:52:00,4981.6,5107,-125.4
2020-03-18 09:53:00,4983,5104.8,-121.8
2020-03-18 09:54:00,4973.2,5100.2,-127
2020-03-18 09:55:00,4964,5089,-125
2020-03-18 09:56:00,4971,5092.6,-121.6
2020-03-18 09:57:00,4987,5113.2,-126.2
2020-03-18 09:58:00,4978,5104.4,-126.4
2020-03-18 09:59:00,4976,5102,-126
2020-03-18 10:00:00,4968,5092.4,-124.4
2020-03-18 10:01:00,4979.4,5104.6,-125.2
2020-03-18 10:02:00,4970,5097.6,-127.6
2020-03-18 10:03:00,4959.2,5085,-125.8
2020-03-18 10:04:00,4956.4,5083.6,-127.2
2020-03-18 10:05:00,4960.4,5082.8,-122.4
2020-03-18 10:06:00,4962.2,5086.2,-124
2020-03-18 10:07:00,4957,5087,-130
2020-03-18 10:08:00,4959.2,5086.6,-127.4
2020-03-18 10:09:00,4959.8,5082.8,-123
2020-03-18 10:10:00,4948.6,5071.4,-122.8
2020-03-18 10:11:00,4935.2,5054,-118.8
2020-03-18 10:12:00,4938,5059.4,-121.4
2020-03-18 10:13:00,4942.4,5061.8,-119.4
2020-03-18 10:14:00,4942,5065.4,-123.4
2020-03-18 10:15:00,4934.2,5057.4,-123.2
2020-03-18 10:16:00,4932.8,5055.6,-122.8
2020-03-18 10:17:00,4934.4,5055.2,-120.8
2020-03-18 10:18:00,4927.4,5050.4,-123
2020-03-18 10:19:00,4934.6,5057,-122.4
2020-03-18 10:20:00,4943.8,5066.4,-122.6
2020-03-18 10:21:00,4946.2,5069.2,-123
2020-03-18 10:22:00,4940.8,5062.4,-121.6
2020-03-18 10:23:00,4935.4,5057,-121.6
2020-03-18 10:24:00,4931.6,5051.8,-120.2
2020-03-18 10:25:00,4926,5045.2,-119.2
2020-03-18 10:26:00,4926.8,5046.2,-119.4
2020-03-18 10:27:00,4935.6,5055.8,-120.2
2020-03-18 10:28:00,4934.2,5058.4,-124.2
2020-03-18 10:29:00,4933,5055.4,-122.4
2020-03-18 10:30:00,4940,5064.8,-124.8
2020-03-18 10:31:00,4948,5072,-124
2020-03-18 10:32:00,4942,5067.6,-125.6
2020-03-18 10:33:00,4947,5073.8,-126.8
2020-03-18 10:34:00,4961,5084.8,-123.8
2020-03-18 10:35:00,4958,5082.8,-124.8
2020-03-18 10:36:00,4963.6,5088.4,-124.8
2020-03-18 10:37:00,4946.6,5073,-126.4
2020-03-18 10:38:00,4944.6,5071.4,-126.8
2020-03-18 10:39:00,4940,5063,-123
2020-03-18 10:40:00,4938.8,5063.6,-124.8
2020-03-18 10:41:00,4932.4,5056.6,-124.2
2020-03-18 10:42:00,4940.2,5066.6,-126.4
2020-03-18 10:43:00,4952.8,5082.8,-130
2020-03-18 10:44:00,4950.8,5077.6,-126.8
2020-03-18 10:45:00,4950.6,5075.6,-125
2020-03-18 10:46:00,4951.6,5075.4,-123.8
2020-03-18 10:47:00,4958.2,5081.8,-123.6
2020-03-18 10:48:00,4957.8,5083,-125.2
2020-03-18 10:49:00,4968,5094.2,-126.2
2020-03-18 10:50:00,4968.2,5092.6,-124.4
2020-03-18 10:51:00,4962,5090.4,-128.4
2020-03-18 10:52:00,4967.2,5093.6,-126.4
2020-03-18 10:53:00,4972.8,5096.2,-123.4
2020-03-18 10:54:00,4966.4,5093.2,-126.8
2020-03-18 10:55:00,4977.8,5104,-126.2
2020-03-18 10:56:00,4985.2,5113.6,-128.4
2020-03-18 10:57:00,4994.6,5121.2,-126.6
2020-03-18 10:58:00,4985.6,5111,-125.4
2020-03-18 10:59:00,4983,5110.4,-127.4
2020-03-18 11:00:00,4981.6,5105.2,-123.6
2020-03-18 11:01:00,4976,5099.8,-123.8
2020-03-18 11:02:00,4978.4,5101.8,-123.4
2020-03-18 11:03:00,4960.4,5085.2,-124.8
2020-03-18 11:04:00,4963.4,5088,-124.6
2020-03-18 11:05:00,4973.6,5094.6,-121
2020-03-18 11:06:00,4975.8,5097.6,-121.8
2020-03-18 11:07:00,4978.4,5102.6,-124.2
2020-03-18 11:08:00,4972.2,5098,-125.8
2020-03-18 11:09:00,4980.6,5105.2,-124.6
2020-03-18 11:10:00,4982.6,5111,-128.4
2020-03-18 11:11:00,4985.8,5114,-128.2
2020-03-18 11:12:00,4983.6,5109,-125.4
2020-03-18 11:13:00,4991.4,5112.4,-121
2020-03-18 11:14:00,4988,5111.4,-123.4
2020-03-18 11:15:00,4998.8,5120,-121.2
2020-03-18 11:16:00,4998.6,5120,-121.4
2020-03-18 11:17:00,4993.8,5114.2,-120.4
2020-03-18 11:18:00,5001,5123,-122
2020-03-18 11:19:00,5008,5131.2,-123.2
2020-03-18 11:20:00,5010.2,5136.2,-126
2020-03-18 11:21:00,5004.4,5126.8,-122.4
2020-03-18 11:22:00,5000,5122.6,-122.6
2020-03-18 11:23:00,4999.6,5122,-122.4
2020-03-18 11:24:00,4992.8,5114.2,-121.4
2020-03-18 11:25:00,5001.8,5125,-123.2
2020-03-18 11:26:00,5003.2,5124.4,-121.2
2020-03-18 11:27:00,4999.4,5120.8,-121.4
2020-03-18 11:28:00,4998.8,5121.4,-122.6
2020-03-18 11:29:00,4997.2,5121.8,-124.6
2020-03-18 13:00:00,4971.2,5095.2,-124
2020-03-18 13:01:00,4972.4,5092,-119.6
2020-03-18 13:02:00,4971,5090,-119
2020-03-18 13:03:00,4966,5087,-121
2020-03-18 13:04:00,4957.8,5076,-118.2
2020-03-18 13:05:00,4960,5081.2,-121.2
2020-03-18 13:06:00,4963.2,5085,-121.8
2020-03-18 13:07:00,4952,5072.8,-120.8
2020-03-18 13:08:00,4957.2,5076.6,-119.4
2020-03-18 13:09:00,4959.4,5085,-125.6
2020-03-18 13:10:00,4958.8,5081.8,-123
2020-03-18 13:11:00,4952,5074,-122
2020-03-18 13:12:00,4947,5067.6,-120.6
2020-03-18 13:13:00,4946.6,5067.6,-121
2020-03-18 13:14:00,4949,5071.8,-122.8
2020-03-18 13:15:00,4951.4,5074,-122.6
2020-03-18 13:16:00,4941,5062.8,-121.8
2020-03-18 13:17:00,4935,5057,-122
2020-03-18 13:18:00,4927.4,5050.8,-123.4
2020-03-18 13:19:00,4927.8,5050,-122.2
2020-03-18 13:20:00,4920,5043.6,-123.6
2020-03-18 13:21:00,4919,5039.8,-120.8
2020-03-18 13:22:00,4925.6,5050.6,-125
2020-03-18 13:23:00,4921.6,5043,-121.4
2020-03-18 13:24:00,4912.4,5035,-122.6
2020-03-18 13:25:00,4903.2,5025,-121.8
2020-03-18 13:26:00,4890,5017,-127
2020-03-18 13:27:00,4892.2,5015.6,-123.4
2020-03-18 13:28:00,4900,5024.6,-124.6
2020-03-18 13:29:00,4891.8,5016,-124.2
2020-03-18 13:30:00,4882.2,5005,-122.8
2020-03-18 13:31:00,4891.2,5011.8,-120.6
2020-03-18 13:32:00,4881.6,5006.2,-124.6
2020-03-18 13:33:00,4888.2,5013.4,-125.2
2020-03-18 13:34:00,4907.4,5029.6,-122.2
2020-03-18 13:35:00,4900.2,5026.6,-126.4
2020-03-18 13:36:00,4895,5015.4,-120.4
2020-03-18 13:37:00,4892.8,5015,-122.2
2020-03-18 13:38:00,4887,5010,-123
2020-03-18 13:39:00,4884,5006.2,-122.2
2020-03-18 13:40:00,4877.2,5001,-123.8
2020-03-18 13:41:00,4886.8,5012.4,-125.6
2020-03-18 13:42:00,4887.8,5010.2,-122.4
2020-03-18 13:43:00,4898.6,5018.6,-120
2020-03-18 13:44:00,4889.8,5011.6,-121.8
2020-03-18 13:45:00,4884.4,5004.4,-120
2020-03-18 13:46:00,4881,5000.4,-119.4
2020-03-18 13:47:00,4875,4995,-120
2020-03-18 13:48:00,4872.2,4995,-122.8
2020-03-18 13:49:00,4881.2,4998,-116.8
2020-03-18 13:50:00,4866.6,4988,-121.4
2020-03-18 13:51:00,4857,4975,-118
2020-03-18 13:52:00,4844.4,4967.6,-123.2
2020-03-18 13:53:00,4848,4965.2,-117.2
2020-03-18 13:54:00,4843.8,4962.2,-118.4
2020-03-18 13:55:00,4845.6,4961,-115.4
2020-03-18 13:56:00,4825.6,4945.8,-120.2
2020-03-18 13:57:00,4843.8,4964,-120.2
2020-03-18 13:58:00,4857.6,4978.6,-121
2020-03-18 13:59:00,4856.6,4972.2,-115.6
2020-03-18 14:00:00,4856.2,4972.6,-116.4
2020-03-18 14:01:00,4849.4,4968.2,-118.8
2020-03-18 14:02:00,4845,4965.8,-120.8
2020-03-18 14:03:00,4854.4,4970,-115.6
2020-03-18 14:04:00,4845.8,4968.2,-122.4
2020-03-18 14:05:00,4841.4,4963.2,-121.8
2020-03-18 14:06:00,4849.6,4970,-120.4
2020-03-18 14:07:00,4843.2,4965.2,-122
2020-03-18 14:08:00,4857.4,4982.4,-125
2020-03-18 14:09:00,4849.6,4972.8,-123.2
2020-03-18 14:10:00,4840,4960,-120
2020-03-18 14:11:00,4837,4954.6,-117.6
2020-03-18 14:12:00,4825.8,4944.8,-119
2020-03-18 14:13:00,4830.8,4947.6,-116.8
2020-03-18 14:14:00,4833.6,4950.6,-117
2020-03-18 14:15:00,4834.8,4962.2,-127.4
2020-03-18 14:16:00,4829.4,4948.4,-119
2020-03-18 14:17:00,4830.6,4952.8,-122.2
2020-03-18 14:18:00,4822.4,4944.4,-122
2020-03-18 14:19:00,4830.2,4949,-118.8
2020-03-18 14:20:00,4831.4,4955.4,-124
2020-03-18 14:21:00,4829.6,4946.8,-117.2
2020-03-18 14:22:00,4822.6,4940.2,-117.6
2020-03-18 14:23:00,4817,4937,-120
2020-03-18 14:24:00,4803.2,4924.2,-121
2020-03-18 14:25:00,4808.8,4927.6,-118.8
2020-03-18 14:26:00,4803.8,4922.2,-118.4
2020-03-18 14:27:00,4822.2,4943.4,-121.2
2020-03-18 14:28:00,4819.4,4940.6,-121.2
2020-03-18 14:29:00,4824.2,4944.4,-120.2
2020-03-18 14:30:00,4844.6,4964.8,-120.2
