datetime,IC2012,IC2009,spread
2020-06-16 09:30:00,5204.6,5388.4,-183.8
2020-06-16 09:31:00,5203.2,5387.6,-184.4
2020-06-16 09:32:00,5196.6,5378.6,-182
2020-06-16 09:33:00,5193.6,5372.2,-178.6
2020-06-16 09:34:00,5202,5385,-183
2020-06-16 09:35:00,5204.6,5387.8,-183.2
2020-06-16 09:36:00,5202.6,5383.6,-181
2020-06-16 09:37:00,5204.8,5387.2,-182.4
2020-06-16 09:38:00,5206.2,5387,-180.8
2020-06-16 09:39:00,5203,5383.2,-180.2
2020-06-16 09:40:00,5203.8,5386.8,-183
2020-06-16 09:41:00,5204,5386,-182
2020-06-16 09:42:00,5208,5392.2,-184.2
2020-06-16 09:43:00,5212.6,5396.4,-183.8
2020-06-16 09:44:00,5217.4,5403.4,-186
2020-06-16 09:45:00,5226,5412.8,-186.8
2020-06-16 09:46:00,5226.6,5411.4,-184.8
2020-06-16 09:47:00,5225.2,5405.4,-180.2
2020-06-16 09:48:00,5221.4,5407.6,-186.2
2020-06-16 09:49:00,5229,5413.2,-184.2
2020-06-16 09:50:00,5226.6,5409.6,-183
2020-06-16 09:51:00,5226,5409.6,-183.6
2020-06-16 09:52:00,5226.8,5412.8,-186
2020-06-16 09:53:00,5224,5404,-180
2020-06-16 09:54:00,5225.4,5407.8,-182.4
2020-06-16 09:55:00,5227,5408.4,-181.4
2020-06-16 09:56:00,5224.4,5405.2,-180.8
2020-06-16 09:57:00,5222,5403.8,-181.8
2020-06-16 09:58:00,5222.8,5404.4,-181.6
2020-06-16 09:59:00,5226.2,5408.4,-182.2
2020-06-16 10:00:00,5227.2,5411.6,-184.4
2020-06-16 10:01:00,5226.4,5409.4,-183
2020-06-16 10:02:00,5225.2,5406,-180.8
2020-06-16 10:03:00,5219.6,5402.6,-183
2020-06-16 10:04:00,5222.6,5405.6,-183
2020-06-16 10:05:00,5224.4,5407.8,-183.4
2020-06-16 10:06:00,5222.8,5404.2,-181.4
2020-06-16 10:07:00,5220.4,5404.4,-184
2020-06-16 10:08:00,5223.8,5407,-183.2
2020-06-16 10:09:00,5224.6,5407.4,-182.8
2020-06-16 10:10:00,5224,5406.8,-182.8
2020-06-16 10:11:00,5226,5407.6,-181.6
2020-06-16 10:12:00,5225,5404.4,-179.4
2020-06-16 10:13:00,5221.4,5401.6,-180.2
2020-06-16 10:14:00,5219,5399.2,-180.2
2020-06-16 10:15:00,5214.6,5394.4,-179.8
2020-06-16 10:16:00,5216,5394,-178
2020-06-16 10:17:00,5216.2,5395.8,-179.6
2020-06-16 10:18:00,5213.6,5393.8,-180.2
2020-06-16 10:19:00,5213,5393.2,-180.2
2020-06-16 10:20:00,5212.4,5392.8,-180.4
2020-06-16 10:21:00,5212.4,5394.4,-182
2020-06-16 10:22:00,5219,5401.4,-182.4
2020-06-16 10:23:00,5220.8,5401.4,-180.6
2020-06-16 10:24:00,5221.4,5403.8,-182.4
2020-06-16 10:25:00,5222,5404,-182
2020-06-16 10:26:00,5223,5405,-182
2020-06-16 10:27:00,5219.4,5404.6,-185.2
2020-06-16 10:28:00,5219.6,5402.4,-182.8
2020-06-16 10:29:00,5216,5399.6,-183.6
2020-06-16 10:30:00,5224,5407.4,-183.4
2020-06-16 10:31:00,5226.2,5409.6,-183.4
2020-06-16 10:32:00,5227.4,5410.8,-183.4
2020-06-16 10:33:00,5227.8,5412,-184.2
2020-06-16 10:34:00,5228.6,5412,-183.4
2020-06-16 10:35:00,5228,5410.8,-182.8
2020-06-16 10:36:00,5231,5415,-184
2020-06-16 10:37:00,5231,5416.2,-185.2
2020-06-16 10:38:00,5235.2,5420,-184.8
2020-06-16 10:39:00,5240,5425.6,-185.6
2020-06-16 10:40:00,5239.2,5421.6,-182.4
2020-06-16 10:41:00,5240.4,5423,-182.6
2020-06-16 10:42:00,5239,5421.8,-182.8
2020-06-16 10:43:00,5235.8,5420,-184.2
2020-06-16 10:44:00,5240,5423.8,-183.8
2020-06-16 10:45:00,5235.8,5420,-184.2
2020-06-16 10:46:00,5233.2,5417.2,-184
2020-06-16 10:47:00,5232.8,5419.4,-186.6
2020-06-16 10:48:00,5233.4,5418.2,-184.8
2020-06-16 10:49:00,5236,5420.4,-184.4
2020-06-16 10:50:00,5235.8,5421.8,-186
2020-06-16 10:51:00,5237,5422.6,-185.6
2020-06-16 10:52:00,5235.2,5418.4,-183.2
2020-06-16 10:53:00,5234.4,5416,-181.6
2020-06-16 10:54:00,5233.8,5417.6,-183.8
2020-06-16 10:55:00,5230.6,5414,-183.4
2020-06-16 10:56:00,5230.2,5412.6,-182.4
2020-06-16 10:57:00,5230,5411.6,-181.6
2020-06-16 10:58:00,5233.8,5416.6,-182.8
2020-06-16 10:59:00,5236.6,5420.2,-183.6
2020-06-16 11:00:00,5234,5418,-184
2020-06-16 11:01:00,5234,5415.2,-181.2
2020-06-16 11:02:00,5231.2,5414.6,-183.4
2020-06-16 11:03:00,5229.8,5411.4,-181.6
2020-06-16 11:04:00,5227.2,5411.2,-184
2020-06-16 11:05:00,5227.4,5408.8,-181.4
2020-06-16 11:06:00,5223,5405.6,-182.6
2020-06-16 11:07:00,5222.8,5405,-182.2
2020-06-16 11:08:00,5220.8,5404,-183.2
2020-06-16 11:09:00,5219.8,5402,-182.2
2020-06-16 11:10:00,5223.8,5404.8,-181
2020-06-16 11:11:00,5226,5405,-179
2020-06-16 11:12:00,5221.4,5403.2,-181.8
2020-06-16 11:13:00,5222,5402.6,-180.6
2020-06-16 11:14:00,5219.2,5399.4,-180.2
2020-06-16 11:15:00,5221,5401.8,-180.8
2020-06-16 11:16:00,5221.4,5402,-180.6
2020-06-16 11:17:00,5222.8,5404.8,-182
2020-06-16 11:18:00,5223.8,5406.6,-182.8
2020-06-16 11:19:00,5222.8,5407,-184.2
2020-06-16 11:20:00,5229.6,5409.2,-179.6
2020-06-16 11:21:00,5227.2,5409,-181.8
2020-06-16 11:22:00,5223.6,5405.6,-182
2020-06-16 11:23:00,5220.2,5400.4,-180.2
2020-06-16 11:24:00,5214.4,5394.2,-179.8
2020-06-16 11:25:00,5215.8,5396.2,-180.4
2020-06-16 11:26:00,5210,5393,-183
2020-06-16 11:27:00,5212.4,5391.2,-178.8
2020-06-16 11:28:00,5214.4,5398.2,-183.8
2020-06-16 11:29:00,5219,5403.4,-184.4
2020-06-16 13:00:00,5224.6,5408.8,-184.2
2020-06-16 13:01:00,5228,5411.8,-183.8
2020-06-16 13:02:00,5235.4,5419.8,-184.4
2020-06-16 13:03:00,5233.4,5418.8,-185.4
2020-06-16 13:04:00,5235.8,5420.8,-185
2020-06-16 13:05:00,5240,5423.6,-183.6
2020-06-16 13:06:00,5241.4,5423.2,-181.8
2020-06-16 13:07:00,5239.8,5424.4,-184.6
2020-06-16 13:08:00,5240.4,5422.8,-182.4
2020-06-16 13:09:00,5238,5423.6,-185.6
2020-06-16 13:10:00,5235.8,5421.6,-185.8
2020-06-16 13:11:00,5235.4,5422,-186.6
2020-06-16 13:12:00,5236.6,5423.8,-187.2
2020-06-16 13:13:00,5233.8,5418.8,-185
2020-06-16 13:14:00,5238,5423.8,-185.8
2020-06-16 13:15:00,5235.2,5421.8,-186.6
2020-06-16 13:16:00,5236.4,5420.8,-184.4
2020-06-16 13:17:00,5236,5422.4,-186.4
2020-06-16 13:18:00,5233.8,5420.4,-186.6
2020-06-16 13:19:00,5234.4,5419,-184.6
2020-06-16 13:20:00,5230.4,5416.2,-185.8
2020-06-16 13:21:00,5233.6,5419.6,-186
2020-06-16 13:22:00,5235,5420.2,-185.2
2020-06-16 13:23:00,5234.8,5422.8,-188
2020-06-16 13:24:00,5237,5423.8,-186.8
2020-06-16 13:25:00,5240,5426.2,-186.2
2020-06-16 13:26:00,5240.2,5426.8,-186.6
2020-06-16 13:27:00,5241.8,5428.8,-187
2020-06-16 13:28:00,5242,5429.6,-187.6
2020-06-16 13:29:00,5244,5431.6,-187.6
2020-06-16 13:30:00,5244.2,5430,-185.8
2020-06-16 13:31:00,5242,5427.6,-185.6
2020-06-16 13:32:00,5240.2,5423.6,-183.4
2020-06-16 13:33:00,5240,5424.2,-184.2
2020-06-16 13:34:00,5235,5418.8,-183.8
2020-06-16 13:35:00,5236.4,5421.4,-185
2020-06-16 13:36:00,5237.2,5422,-184.8
2020-06-16 13:37:00,5242.4,5425,-182.6
2020-06-16 13:38:00,5244.2,5427,-182.8
2020-06-16 13:39:00,5246,5428,-182
2020-06-16 13:40:00,5242.6,5425.2,-182.6
2020-06-16 13:41:00,5239.8,5422.6,-182.8
2020-06-16 13:42:00,5242.4,5425.2,-182.8
2020-06-16 13:43:00,5243.2,5425.6,-182.4
2020-06-16 13:44:00,5243.2,5426.2,-183
2020-06-16 13:45:00,5242.6,5427.6,-185
2020-06-16 13:46:00,5244.6,5428.6,-184
2020-06-16 13:47:00,5242.6,5427.6,-185
2020-06-16 13:48:00,5240,5423,-183
2020-06-16 13:49:00,5241,5425,-184
2020-06-16 13:50:00,5235.8,5420.4,-184.6
2020-06-16 13:51:00,5239.2,5424,-184.8
2020-06-16 13:52:00,5242,5426.8,-184.8
2020-06-16 13:53:00,5244.6,5430.2,-185.6
2020-06-16 13:54:00,5245.8,5430.6,-184.8
2020-06-16 13:55:00,5244.4,5430.2,-185.8
2020-06-16 13:56:00,5242.4,5428.6,-186.2
2020-06-16 13:57:00,5245.6,5431,-185.4
2020-06-16 13:58:00,5241,5425.8,-184.8
2020-06-16 13:59:00,5238.6,5425,-186.4
2020-06-16 14:00:00,5239.8,5425,-185.2
2020-06-16 14:01:00,5240,5425.8,-185.8
2020-06-16 14:02:00,5240.8,5427,-186.2
2020-06-16 14:03:00,5237.2,5422.4,-185.2
2020-06-16 14:04:00,5238.8,5424.4,-185.6
2020-06-16 14:05:00,5243,5424.2,-181.2
2020-06-16 14:06:00,5239.2,5424.4,-185.2
2020-06-16 14:07:00,5239.6,5425,-185.4
2020-06-16 14:08:00,5239.6,5423.2,-183.6
2020-06-16 14:09:00,5239.8,5425.6,-185.8
2020-06-16 14:10:00,5239.2,5425,-185.8
2020-06-16 14:11:00,5243.4,5427,-183.6
2020-06-16 14:12:00,5245,5431,-186
2020-06-16 14:13:00,5248.4,5435,-186.6
2020-06-16 14:14:00,5248,5436,-188
2020-06-16 14:15:00,5250,5437,-187
2020-06-16 14:16:00,5250.8,5436.4,-185.6
