,pc,dc,qc,,,,
1,1,0,1,,,,
2,1,0,1,,,,
3,1,0,1,,,,
4,2,0,0,0.214285714,0.267857143,0.214285714,1
5,2,0,0,0.410714286,0.285714286,0.410714286,1
6,1,1,1,0.5,0.285714286,0.410714286,1
7,1,1,1,0.553571429,0.285714286,0.410714286,1
8,1,1,1,0.696428571,0.267857143,0.285714286,1
9,0,1,2,0.696428571,0.214285714,0.214285714,1
10,2,0,1,0.696428571,0.267857143,0.214285714,1
11,2,0,1,0.857142857,0.285714286,0.214285714,1
12,0,1,1,0.857142857,0.267857143,0.214285714,1
13,0,1,2,0.696428571,0.214285714,0.125,1
14,1,0,1,0.571428571,0.214285714,0.285714286,1
15,2,0,1,0.571428571,0.214285714,0.285714286,1
16,1,0,1,0.839285714,0.125,0.410714286,1
17,1,0,1,0.571428571,0.125,0.410714286,1
18,1,0,0,0.839285714,0.214285714,0.571428571,1
19,2,0,1,0.785714286,0.214285714,0.696428571,1
20,3,0,0,0.785714286,0.214285714,0.696428571,1
21,1,1,2,0.785714286,0.214285714,0.785714286,1
22,0,1,2,0.785714286,0.214285714,0.571428571,1
23,1,0,2,0.857142857,0.267857143,0.553571429,1
24,1,0,1,0.214285714,0.285714286,0.214285714,1
25,1,0,2,0.214285714,0.285714286,0.267857143,1
26,1,0,2,0.214285714,0.285714286,0.267857143,1
27,0,1,2,0.267857143,0.267857143,0.267857143,1
28,1,1,1,0.285714286,0.214285714,0.214285714,1
29,1,1,1,0.267857143,0.125,0.214285714,1
30,0,1,2,0.214285714,0,0.267857143,1
31,0,1,2,0.214285714,0,0.285714286,1
32,0,1,2,0.553571429,0.125,0.285714286,1
33,0,1,2,2.214285714,0.214285714,0.553571429,0
34,0,1,1,2.125,0.214285714,0.5,0
35,0,1,1,2,0.214285714,0.410714286,0
36,2,0,1,1.839285714,0.214285714,0.285714286,0
37,4,0,0,1.696428571,0.214285714,0.125,0
38,1,1,1,1.428571429,0.267857143,0.696428571,0
39,1,1,1,1.125,0.285714286,0.696428571,0
40,1,1,1,1.357142857,0.267857143,1.125,0
41,2,1,1,0.785714286,0.214285714,0.857142857,1
42,1,0,3,0.982142857,0.214285714,0.857142857,1
43,1,0,1,0.982142857,0.214285714,0.839285714,1
44,3,1,3,1.142857143,0.214285714,0.839285714,0
45,0,1,1,1.142857143,0.214285714,0.839285714,0
46,0,1,1,1.267857143,0.125,0.553571429,0
47,1,1,2,1.357142857,0,0.553571429,0
48,0,1,1,0.982142857,0,0.125,1
49,2,1,1,1.142857143,0,0.214285714,0
50,2,1,1,0.785714286,0,0.214285714,1
51,2,1,1,1.125,0,0.125,0
52,2,1,1,0.785714286,0,0.125,1
53,3,1,2,1.142857143,0.125,0.125,0
54,2,1,1,1.125,0.214285714,0.285714286,0
55,0,1,1,1.125,0.267857143,0.410714286,0
56,1,1,1,1.071428571,0.267857143,0.410714286,0
57,0,0,1,0.696428571,0.267857143,0.410714286,1
58,1,0,0,0.696428571,0.267857143,0.410714286,1
59,2,0,0,0.696428571,0.267857143,0.410714286,1
60,1,1,1,0.785714286,0.267857143,0.410714286,1
61,2,1,2,0.696428571,0.267857143,0.410714286,1
62,0,1,1,0.696428571,0.267857143,0.285714286,1
63,0,1,1,0.5,0.267857143,0.125,1
64,0,1,1,0.5,0.285714286,0.125,1
65,1,0,1,0.5,0.267857143,0.125,1
66,1,0,1,0.410714286,0.214285714,0.214285714,1
67,1,0,1,0.285714286,0.125,0.267857143,1
68,1,0,1,0.125,0,0.553571429,1
69,2,0,2,0.125,0,0.553571429,1
70,1,0,2,0.125,0,0.857142857,1
71,1,0,2,0.214285714,0.125,0.857142857,1
72,1,0,3,0.267857143,0.214285714,0.857142857,1
73,1,0,1,0.410714286,0.267857143,0.857142857,1
74,1,0,0,0.571428571,0.285714286,0.857142857,1
75,2,1,1,0.696428571,0.267857143,0.857142857,1
76,2,1,1,0.785714286,0.267857143,0.553571429,1
77,0,1,2,0.785714286,0.267857143,0.571428571,1
78,0,1,2,0.785714286,0.267857143,0.214285714,1
79,2,1,2,0.696428571,0.285714286,0.214285714,1
80,2,0,2,0.571428571,0.267857143,0.214285714,1
81,1,0,2,0.5,0.214285714,0.267857143,1
82,1,0,2,0.267857143,0.214285714,0.285714286,1
83,1,0,1,0.214285714,0.214285714,0.267857143,1
84,1,0,1,0.125,0.214285714,0.571428571,1
85,2,0,1,0.214285714,0.267857143,0.571428571,1
86,1,1,1,0.267857143,0.267857143,0.571428571,1
87,1,1,1,0.5,0.285714286,0.553571429,1
88,1,0,3,0.5,0.285714286,0.553571429,1
89,2,1,2,0.410714286,0.285714286,0.553571429,1
90,2,0,2,0.571428571,0.285714286,0.5,1
91,0,1,2,0.696428571,0.285714286,0.5,1
92,1,0,1,1.714285714,0.267857143,0.267857143,0
93,1,0,1,1.714285714,0.267857143,0.5,0
94,0,1,2,2.5,0.267857143,0.553571429,0
95,2,1,1,2.5,0.267857143,0.571428571,0
96,4,1,2,2.410714286,0.214285714,0.785714286,0
97,2,1,3,2.410714286,0.125,0.785714286,0
98,4,0,1,2.410714286,0.125,0.839285714,0
99,0,1,1,2.5,0.125,0.839285714,0
100,2,1,3,1.982142857,0.125,1.553571429,0
101,1,1,1,1.982142857,0.214285714,1.357142857,0
102,0,1,1,1.071428571,0.214285714,1.357142857,0
103,1,1,1,0.839285714,0.267857143,1.357142857,0
104,3,1,4,0.982142857,0.267857143,1.125,0
105,2,0,2,1.142857143,0.285714286,1.125,0
106,1,0,1,0.982142857,0.267857143,1.125,0
107,1,0,1,0.982142857,0.214285714,1.428571429,0
108,0,1,2,0.571428571,0.214285714,0.839285714,1
109,0,0,1,0.5,0.267857143,1.142857143,0
110,1,0,1,0.5,0.285714286,1.142857143,0
111,1,0,0,0.553571429,0.267857143,1.357142857,0
112,2,1,3,0.5,0.267857143,1.410714286,0
113,0,1,3,0.410714286,0.214285714,1.410714286,0
114,1,1,1,0.410714286,0.125,1.357142857,0
115,0,1,3,0.5,0,0.982142857,1
116,1,1,1,0.267857143,0,0.839285714,1
117,1,1,1,0.267857143,0,0.553571429,1
118,1,1,2,0.285714286,0,0.553571429,1
119,0,1,1,0.285714286,0,0.125,1
120,1,1,1,0.285714286,0,0.125,1
121,0,1,1,0.553571429,0.125,0.125,1
122,0,1,1,0.571428571,0.125,0.125,1
123,0,1,1,0.553571429,0.125,0.214285714,1
124,1,1,1,0.553571429,0.125,0.214285714,1
125,2,0,1,0.696428571,0.125,0.571428571,1
126,0,1,2,0.696428571,0.125,0.571428571,1
127,1,1,2,0.553571429,0.125,0.553571429,1
128,1,1,1,0.553571429,0.125,0.553571429,1
129,2,1,3,0.553571429,0,0.553571429,1
130,2,1,1,0.553571429,0,0.553571429,1
131,2,1,2,0.571428571,0,0.571428571,1
132,1,1,1,0.553571429,0,0.571428571,1
133,2,1,1,0.571428571,0,0.214285714,1
134,0,1,2,0.785714286,0,0.214285714,1
135,2,1,1,0.857142857,0,0.125,1
136,2,1,1,0.982142857,0,0.125,1
