,pc,dc,qc,,,,
1,3,0,0,,,,
2,3,0,0,,,,
3,1,1,1,,,,
4,4,1,1,1.428571429,0.285714286,0.982142857,0
5,1,1,2,1.357142857,0.267857143,1.142857143,0
6,1,1,1,1.410714286,0.214285714,0.839285714,0
7,1,0,1,1.410714286,0.214285714,0.785714286,0
8,2,0,3,0.410714286,0.267857143,1.125,0
9,1,1,3,0.5,0.285714286,1.410714286,0
10,0,1,1,0.553571429,0.267857143,1.642857143,0
11,1,1,2,0.571428571,0.267857143,1.839285714,0
12,0,0,0,0.214285714,0.267857143,1.357142857,0
13,0,0,0,0.125,0.214285714,0.553571429,1
14,0,0,0,0.125,0.125,0.5,1
15,0,0,0,0,0,0,1
16,0,0,0,0.125,0,0.125,1
17,0,0,0,0.553571429,0.125,0.214285714,1
18,0,0,0,0.839285714,0.214285714,0.267857143,1
19,0,0,0,0.982142857,0.267857143,0.285714286,1
20,1,0,1,0.982142857,0.285714286,0.267857143,1
21,2,1,1,0.839285714,0.267857143,0.214285714,1
22,2,1,1,0.839285714,0.214285714,0.125,1
23,2,1,1,0.839285714,0.125,0,1
24,2,1,1,0.839285714,0,0,1
25,2,1,1,0.839285714,0,0,1
26,0,1,1,0.785714286,0,0,1
27,0,1,1,0.785714286,0,0,1
28,1,1,1,0.696428571,0,0,1
29,2,1,1,0.696428571,0,0.125,1
30,1,1,1,0.571428571,0,0.125,1
31,2,1,1,0.5,0.125,0.125,1
32,1,1,1,0.553571429,0.214285714,0.125,1
33,0,1,2,0.5,0.267857143,0.285714286,1
34,1,1,1,0.5,0.285714286,0.410714286,1
35,2,0,1,0.410714286,0.267857143,0.5,1
36,2,0,1,0.410714286,0.214285714,0.553571429,1
37,1,0,0,0.267857143,0.125,0.267857143,1
38,1,0,0,0.5,0.125,0.571428571,1
39,1,0,0,0.410714286,0.214285714,0.571428571,1
40,1,0,0,0.410714286,0.214285714,0.571428571,1
41,2,0,0,0.410714286,0.267857143,0.553571429,1
42,0,1,2,0.571428571,0.285714286,0.5,1
43,1,1,1,0.696428571,0.267857143,0.410714286,1
44,2,0,1,0.785714286,0.214285714,0.410714286,1
45,1,1,1,0.553571429,0.125,0.214285714,1
46,0,1,1,1.142857143,0.214285714,0.214285714,0
47,0,1,1,1.142857143,0.267857143,0.214285714,0
48,0,1,2,1.142857143,0.267857143,0.214285714,0
49,1,1,1,1.267857143,0.285714286,0.214285714,0
50,3,0,2,1.071428571,0.267857143,0.410714286,0
51,1,0,1,0.839285714,0.214285714,0.571428571,1
52,2,0,1,0.553571429,0.125,0.571428571,1
53,2,0,1,0.553571429,0,0.696428571,1
54,1,0,0,0.285714286,0,0.696428571,1
55,1,0,0,1.714285714,0,1.714285714,0
56,2,0,2,2.214285714,0.125,1.714285714,0
57,1,0,2,2.571428571,0.214285714,1.714285714,0
58,2,0,2,2.571428571,0.267857143,1.357142857,0
59,5,0,4,2.571428571,0.267857143,0.982142857,0
60,0,1,1,2.571428571,0.267857143,0.982142857,0
61,0,1,1,2.553571429,0.267857143,1.071428571,0
62,1,1,2,2.571428571,0.285714286,1.125,0
63,1,0,1,0.571428571,0.285714286,0.214285714,1
64,2,0,2,0.5,0.267857143,0.410714286,1
65,2,0,1,0.285714286,0.267857143,0.410714286,1
66,1,1,1,0.553571429,0.267857143,0.785714286,1
67,1,0,1,0.785714286,0.285714286,0.785714286,1
68,2,0,0,1.125,0.267857143,0.696428571,0
69,2,1,1,1.125,0.267857143,0.785714286,0
70,0,1,3,1.410714286,0.285714286,0.982142857,0
71,0,1,1,2,0.267857143,0.982142857,0
72,3,1,1,2,0.214285714,0.785714286,0
73,2,0,2,2.5,0.214285714,1.696428571,0
74,3,0,0,2.5,0.214285714,1.696428571,0
75,4,1,1,2.125,0.267857143,1.839285714,0
76,2,1,1,2.285714286,0.285714286,2.839285714,0
77,0,1,4,2.5,0.285714286,3.642857143,0
78,0,1,3,2,0.267857143,3.642857143,0
79,1,0,3,2.982142857,0.267857143,3.642857143,0
80,0,0,5,2.982142857,0.267857143,3.642857143,0
81,0,0,5,2.982142857,0.285714286,3.553571429,0
82,1,1,0,2.785714286,0.267857143,4.785714286,0
83,5,1,1,2.785714286,0.267857143,5.696428571,0
84,0,1,5,2.571428571,0.267857143,5.071428571,0
85,2,0,3,2.267857143,0.267857143,3.553571429,0
86,1,0,0,2.267857143,0.214285714,3.553571429,0
87,1,0,0,0.5,0.125,3.714285714,0
88,2,0,0,0.267857143,0,1.125,0
89,1,0,0,0.214285714,0,0,1
90,1,0,0,0.571428571,0,0,1
91,2,0,0,0.571428571,0,0,1
92,1,0,0,0.553571429,0,0,1
93,1,0,0,0.571428571,0,0,1
94,3,0,0,0.553571429,0,1.125,0
95,1,0,0,0.839285714,0.125,1.410714286,0
96,1,0,0,0.839285714,0.214285714,1.357142857,0
97,2,0,0,1.071428571,0.267857143,1.428571429,0
98,2,0,3,0.696428571,0.285714286,1.267857143,0
99,0,1,2,0.785714286,0.267857143,1.071428571,0
100,1,1,1,0.839285714,0.214285714,1.125,0
101,0,1,2,0.839285714,0.125,0.785714286,1
102,2,1,1,0.785714286,0,0.553571429,1
103,2,1,1,0.571428571,0,0.571428571,1
104,2,1,3,0.571428571,0,0.571428571,1
