,pc,dc,qc,,,,
1,1,0,1,,,,
2,1,0,1,,,,
3,1,0,1,,,,
4,1,0,1,0.857142857,0.267857143,0.111111111,1
5,1,0,1,0.857142857,0.267857143,0.5,1
6,3,1,1,0.982142857,0.267857143,0.5,1
7,0,1,1,1.553571429,0.267857143,0.527777778,0
8,0,1,1,1.553571429,0.267857143,0.527777778,0
9,1,0,2,1.553571429,0.267857143,0.5,0
10,0,0,3,0.982142857,0.214285714,0.5,1
11,3,0,1,0.982142857,0.214285714,0.611111111,1
12,1,0,2,0.982142857,0.125,0.611111111,1
13,1,0,2,0.982142857,0.125,0.694444444,1
14,1,0,2,0.857142857,0.125,0.527777778,1
15,0,1,1,0.214285714,0.125,0.527777778,1
16,0,0,3,0.214285714,0.125,0.527777778,1
17,1,0,1,0.214285714,0.125,0.694444444,1
18,1,0,1,0.410714286,0.125,0.694444444,1
19,1,0,1,0.285714286,0.125,0.694444444,1
20,1,0,1,0.553571429,0.214285714,0.25,1
21,1,0,1,0.785714286,0.267857143,0.25,1
22,2,0,0,0.785714286,0.267857143,0.25,1
23,1,1,2,0.785714286,0.267857143,0.361111111,1
24,3,1,1,1.696428571,0.267857143,0.361111111,0
25,0,1,1,1.696428571,0.267857143,0.361111111,0
26,1,0,1,1.714285714,0.267857143,0.25,0
27,1,0,1,1.714285714,0.214285714,0.111111111,0
28,4,0,0,1.357142857,0.125,0.111111111,0
29,1,0,1,1.125,0,0.111111111,0
30,1,0,1,1.125,0,0.111111111,0
31,1,0,1,1.357142857,0.125,0.111111111,0
32,1,0,1,0.125,0.125,0,1
33,1,0,1,0.214285714,0.214285714,0,1
34,1,0,1,0.267857143,0.267857143,0,1
35,0,1,1,0.285714286,0.285714286,0,1
36,1,0,1,0.553571429,0.267857143,0,1
37,0,1,1,0.785714286,0.214285714,0,1
38,0,1,1,0.839285714,0.125,0,1
39,0,1,1,0.839285714,0.125,0,1
40,2,1,1,0.839285714,0,0,1
41,2,1,1,0.982142857,0,0,1
42,0,1,1,0.857142857,0,0,1
43,0,1,1,0.696428571,0.125,0,1
44,1,1,1,0.571428571,0.214285714,0,1
45,2,1,1,0.410714286,0.267857143,0.111111111,1
46,1,1,1,0.785714286,0.285714286,0.194444444,1
47,1,0,1,0.839285714,0.267857143,0.361111111,1
48,1,0,1,0.785714286,0.214285714,0.5,1
49,1,0,1,0.785714286,0.125,0.611111111,1
50,3,0,0,0.785714286,0.125,0.611111111,1
51,3,0,0,0.785714286,0.214285714,0.611111111,1
52,2,0,2,0.785714286,0.267857143,0.611111111,1
53,2,0,2,1.125,0.285714286,0.611111111,0
54,1,1,2,0.839285714,0.285714286,0.444444444,1
55,1,1,1,0.571428571,0.267857143,0.25,1
56,1,1,1,0.5,0.214285714,0.194444444,1
57,0,1,1,0.285714286,0.125,0.194444444,1
58,1,0,1,0.553571429,0.125,0.111111111,1
59,0,1,1,0.553571429,0.214285714,0.111111111,1
60,0,1,1,0.553571429,0.267857143,0.111111111,1
61,0,1,1,0.5,0.285714286,0.111111111,1
62,2,1,2,0.5,0.285714286,0.111111111,1
63,1,0,1,0.410714286,0.267857143,0.111111111,1
64,1,0,1,0.410714286,0.214285714,0.194444444,1
65,1,0,1,0.267857143,0.125,0.25,1
66,1,0,1,0.214285714,0.125,0.194444444,1
67,1,0,1,0.571428571,0.214285714,0.25,1
68,2,0,1,0.553571429,0.267857143,0.25,1
69,2,0,2,0.857142857,0.285714286,1,0
70,1,1,2,0.857142857,0.267857143,1,0
71,3,1,1,1.125,0.214285714,1,0
72,2,1,2,1.267857143,0.125,1,0
73,0,1,1,1.142857143,0,1.027777778,0
74,1,1,4,1.267857143,0,1.027777778,0
75,0,1,1,0.571428571,0,1.027777778,0
76,0,1,1,0.214285714,0,1,0
77,1,1,1,0.267857143,0,1,0
78,0,1,1,0.267857143,0.125,0,1
79,0,1,1,0.267857143,0.125,0,1
80,0,1,1,0.285714286,0.214285714,0,1
81,1,1,1,0.285714286,0.267857143,0,1
82,1,0,1,0.285714286,0.267857143,0,1
83,0,1,1,0.285714286,0.267857143,0,1
84,1,0,1,0.285714286,0.267857143,0,1
85,1,0,1,0.267857143,0.267857143,0,1
86,0,1,1,0.214285714,0.214285714,0,1
87,0,1,1,1.125,0.214285714,0,0
88,0,1,1,1.142857143,0.125,0,0
89,0,1,1,1.125,0,0,0
90,0,1,1,1.125,0,0,0
91,3,1,1,1.142857143,0.125,0.111111111,0
92,0,1,1,1.125,0.214285714,0.111111111,0
93,0,1,1,1.071428571,0.267857143,0.194444444,0
94,0,1,1,1.142857143,0.267857143,0.194444444,0
95,1,0,1,0.5,0.267857143,0.194444444,1
96,1,0,2,0.5,0.267857143,0.25,1
97,1,0,1,0.982142857,0.267857143,0.25,1
98,2,1,2,0.839285714,0.267857143,0.25,1
99,1,1,1,1.071428571,0.214285714,0.25,0
100,0,1,1,1.071428571,0.214285714,0.194444444,0
101,3,1,2,1.125,0.214285714,0.25,0
102,2,1,1,1.071428571,0.267857143,0.194444444,0
103,0,1,1,1.428571429,0.267857143,0.361111111,0
104,1,0,1,1.267857143,0.285714286,1.277777778,0
105,2,0,1,1.428571429,0.267857143,1.527777778,0
106,1,0,2,1.428571429,0.214285714,1.5,0
107,3,1,1,1.267857143,0.125,1.5,0
108,3,0,0,1.267857143,0.125,1.5,0
109,0,0,4,1.357142857,0.125,1.5,0
110,2,0,3,1.696428571,0.214285714,1.527777778,0
111,3,0,2,1.410714286,0.125,1.527777778,0
112,1,0,1,0.982142857,0.125,1.25,0
113,1,0,1,0.785714286,0.125,0.5,1
114,0,1,1,0.696428571,0.214285714,0.111111111,1
115,1,0,1,0.696428571,0.267857143,0,1
116,1,0,1,0.696428571,0.285714286,0,1
117,1,0,1,0.857142857,0.267857143,0.111111111,1
118,1,1,1,0.785714286,0.267857143,0.111111111,1
119,3,1,1,0.785714286,0.267857143,0.194444444,1
120,1,1,1,1.142857143,0.267857143,0.194444444,0
121,0,1,1,1.142857143,0.267857143,0.361111111,0
122,2,1,0,1.357142857,0.285714286,0.361111111,0
123,1,0,1,1.142857143,0.267857143,0.5,0
124,3,0,0,1.839285714,0.214285714,0.5,0
125,1,0,1,1.428571429,0.125,0.5,0
126,3,0,2,1.553571429,0,0.444444444,0
127,1,0,1,1.428571429,0.125,0.5,0
128,4,0,2,1.696428571,0.214285714,0.277777778,0
129,1,0,1,1.696428571,0.214285714,0.277777778,0
130,1,0,1,1.410714286,0.267857143,0.25,0
131,2,1,2,1.410714286,0.285714286,0.277777778,0
132,0,1,2,0.410714286,0.267857143,0.25,1
133,1,0,1,0.410714286,0.214285714,0.277777778,1
134,1,1,1,0.5,0.125,0.277777778,1
135,1,1,1,0.571428571,0.125,0.277777778,1
136,2,1,2,0.5,0.125,0.25,1
137,1,1,1,0.5,0.125,0.25,1
138,2,1,2,0.5,0.214285714,0.277777778,1
139,0,1,1,0.5,0.214285714,0.277777778,1
140,2,1,2,0.410714286,0.267857143,0.25,1
