,pc,dc,qc,,,,
1,1,1,1,,,,
2,2,1,1,,,,
3,0,1,1,,,,
4,0,1,1,0.5,0,0.125,1
5,1,1,1,0.5,0,0.125,1
6,1,1,1,0.267857143,0,0.214285714,1
7,0,1,2,0.267857143,0,0.214285714,1
8,1,1,1,0.267857143,0,0.214285714,1
9,1,1,1,0.5,0,0.410714286,1
10,1,1,2,0.553571429,0,0.410714286,1
11,0,1,1,0.696428571,0,0.285714286,1
12,0,1,1,0.696428571,0.125,0.410714286,1
13,2,1,0,0.696428571,0.125,0.571428571,1
14,0,1,1,0.696428571,0.214285714,0.982142857,1
15,2,1,1,0.696428571,0.214285714,1.142857143,0
16,1,0,2,0.696428571,0.214285714,1.267857143,0
17,1,1,0,0.553571429,0.214285714,1.267857143,0
18,1,0,3,0.553571429,0.214285714,1.357142857,0
19,0,1,0,0.267857143,0.214285714,1.410714286,0
20,0,1,0,0.571428571,0.125,1.410714286,0
21,0,1,0,0.839285714,0.125,1.410714286,0
22,0,1,0,0.857142857,0,0.553571429,1
23,0,1,0,0.839285714,0,0.571428571,1
24,2,1,2,0.839285714,0,0.553571429,1
25,2,1,0,0.839285714,0,0.5,1
26,0,1,1,0.839285714,0,0.410714286,1
27,1,1,1,0.982142857,0,0.785714286,1
28,0,1,1,0.839285714,0,0.696428571,1
29,0,1,1,0.839285714,0,0.5,1
30,0,1,1,0.785714286,0,0.553571429,1
31,2,1,3,0.982142857,0,0.571428571,1
32,0,1,1,0.857142857,0.125,0.571428571,1
33,2,1,1,0.857142857,0.125,0.571428571,1
34,1,1,2,0.785714286,0.125,0.839285714,1
35,2,1,2,0.857142857,0.125,0.410714286,1
36,1,0,1,0.857142857,0.125,0.410714286,1
37,0,1,1,0.785714286,0.125,0.410714286,1
38,2,1,0,0.839285714,0.125,0.285714286,1
39,0,1,1,0.839285714,0.125,0.214285714,1
40,0,1,1,0.857142857,0,0.214285714,1
41,0,1,1,0.857142857,0,0.214285714,1
42,0,1,1,0.5,0,0.125,1
43,2,1,0,0.553571429,0.125,0.125,1
44,0,1,1,0.553571429,0.125,0.125,1
45,0,1,1,1.357142857,0.125,0.285714286,0
46,0,1,1,1.267857143,0.125,0.285714286,0
47,1,0,1,1.267857143,0.125,0.214285714,0
48,0,1,1,1.142857143,0.125,0.214285714,0
49,3,1,2,1.142857143,0.125,0.267857143,0
50,1,1,1,0.982142857,0.125,0.267857143,1
51,2,1,2,1.142857143,0,0.285714286,0
52,1,1,1,0.982142857,0,0.285714286,1
53,0,1,2,0.571428571,0,0.267857143,1
54,1,1,1,0.696428571,0,0.285714286,1
55,0,1,2,0.696428571,0,0.553571429,1
56,1,1,1,0.857142857,0,0.553571429,1
57,2,1,1,0.696428571,0.125,0.571428571,1
58,0,1,2,0.696428571,0.214285714,0.571428571,1
59,2,1,3,0.5,0.267857143,0.553571429,1
60,2,1,1,0.696428571,0.267857143,0.553571429,1
61,1,0,1,0.696428571,0.267857143,0.553571429,1
62,1,0,1,0.696428571,0.267857143,0.5,1
63,1,0,1,0.553571429,0.267857143,0,1
64,0,1,1,0.267857143,0.267857143,0.125,1
65,0,1,1,0.214285714,0.214285714,0.214285714,1
66,0,1,1,0.125,0.125,0.267857143,1
67,0,1,1,0,0,0.285714286,1
68,0,1,2,0,0,0.267857143,1
69,0,1,2,2,0,0.267857143,0
70,0,1,2,2,0,0.571428571,0
71,0,1,2,1.982142857,0,0.553571429,0
72,0,1,2,1.982142857,0,1.267857143,0
73,4,1,1,1.982142857,0,1.839285714,0
74,0,1,0,1.982142857,0,1.928571429,0
75,1,1,2,2.125,0,2.125,0
76,0,1,4,2.125,0,2.285714286,0
77,0,1,4,2.125,0,2.125,0
78,0,1,3,2.125,0,1.410714286,0
79,2,1,1,2.125,0.125,1.410714286,0
80,2,1,1,2.125,0.125,0.982142857,0
81,4,1,2,2.285714286,0.214285714,0.410714286,0
82,0,1,2,1.982142857,0.267857143,0.214285714,0
83,1,0,2,2,0.285714286,0.125,0
84,0,1,2,2.214285714,0.285714286,0,0
85,3,0,2,0.982142857,0.285714286,0.125,1
86,1,0,2,0.982142857,0.285714286,0.125,1
87,1,0,2,1.071428571,0.267857143,0.125,0
88,0,1,2,0.982142857,0.285714286,0.214285714,1
89,1,1,1,0.5,0.285714286,0.267857143,1
90,0,1,2,0.553571429,0.267857143,0.267857143,1
91,0,1,2,0.553571429,0.214285714,0.267857143,1
92,1,0,1,0.5,0.267857143,0.285714286,1
93,2,0,1,0.5,0.267857143,0.285714286,1
94,0,1,2,0.410714286,0.267857143,0.267857143,1
95,1,1,2,0.285714286,0.267857143,0.214285714,1
96,1,0,1,0.410714286,0.214285714,0.267857143,1
97,1,1,1,0.410714286,0.125,0.267857143,1
98,1,1,1,0.410714286,0.125,0.214285714,1
99,1,1,1,0.410714286,0.125,0.214285714,1
100,2,1,2,0.571428571,0,0.214285714,1
101,0,1,1,0.696428571,0,0.214285714,1
102,2,1,1,0.785714286,0,0.214285714,1
103,1,1,2,0.839285714,0,0.214285714,1
104,0,1,1,0.553571429,0,0.214285714,1
105,0,1,1,0.571428571,0,0.214285714,1
