,pc,dc,qc,,,,
125,1,0,1,0.267857143,0.285714286,0.785714286,1
126,2,1,2,0.214285714,0.267857143,0.982142857,1
127,1,1,3,0.267857143,0.214285714,0.982142857,1
128,1,1,3,0.285714286,0.125,0.785714286,1
129,2,1,1,0.553571429,0,0.553571429,1
130,1,1,3,0.5,0.125,0.553571429,1
131,2,1,3,0.5,0.214285714,0.696428571,1
132,2,1,2,0.696428571,0.214285714,0.571428571,1
133,0,1,2,0.696428571,0.267857143,0.571428571,1
134,1,0,2,0.696428571,0.285714286,0.5,1
135,1,0,1,0.5,0.285714286,0.285714286,1
136,0,1,2,0.267857143,0.285714286,0.267857143,1
137,0,0,1,0.267857143,0.285714286,0.214285714,1
138,1,0,1,0.267857143,0.285714286,0.125,1
139,1,1,1,0.285714286,0.267857143,0.125,1
140,1,1,1,0.267857143,0.267857143,0,1
141,0,1,1,0.214285714,0.214285714,0,1
142,1,0,1,0.267857143,0.125,0,1
143,0,1,1,0.285714286,0.125,0,1
144,1,1,1,0.267857143,0.125,0,1
145,1,1,1,0.267857143,0.125,0,1
146,0,1,1,0.267857143,0,0.5,1
147,0,1,1,0.285714286,0,0.553571429,1
148,0,1,1,0.267857143,0,0.553571429,1
149,0,1,1,0.214285714,0,0.553571429,1
150,1,1,3,0.214285714,0,0.571428571,1
151,1,1,2,0.214285714,0,0.571428571,1
152,0,1,1,0.571428571,0.125,0.571428571,1
153,0,1,1,0.553571429,0.214285714,0.571428571,1
154,0,1,2,0.553571429,0.214285714,0.214285714,1
155,0,1,1,1.267857143,0.267857143,0.125,0
156,2,0,1,1.142857143,0.285714286,0.125,0
157,1,0,1,1.410714286,0.267857143,0.285714286,0
158,1,1,1,1.357142857,0.214285714,0.125,0
159,3,0,1,0.982142857,0.214285714,0.696428571,1
160,1,0,1,1.142857143,0.267857143,0.696428571,0
161,3,0,0,1.142857143,0.267857143,0.696428571,0
162,3,0,1,1.142857143,0.214285714,0.696428571,0
163,3,1,3,1.071428571,0.214285714,0.696428571,0
164,1,1,1,1.071428571,0.214285714,0.696428571,0
165,1,0,1,1.553571429,0.214285714,0.5,0
166,1,0,1,1.410714286,0.267857143,0.5,0
167,1,0,1,1.125,0.267857143,0,0
168,1,0,1,1.125,0.267857143,0,0
169,4,0,1,1.125,0.285714286,0,0
170,1,1,1,1.125,0.267857143,0,0
171,1,1,1,1.142857143,0.214285714,0.125,0
172,1,1,1,1.125,0.125,0.125,0
173,1,1,1,0.214285714,0.125,0.125,1
174,1,1,1,0.410714286,0.125,0.125,1
175,2,1,2,0.839285714,0.125,0.125,1
176,2,1,1,0.857142857,0.125,0.125,1
177,1,0,1,0.839285714,0.125,0.125,1
178,0,1,1,0.982142857,0.125,0.285714286,1
179,3,1,1,1.142857143,0.214285714,0.214285714,0
180,2,1,1,1.642857143,0.214285714,0.214285714,0
181,2,1,1,1.982142857,0.125,0.214285714,0
182,3,1,0,1.982142857,0.125,0.214285714,0
183,3,0,0,1.928571429,0.125,0.214285714,0
184,0,1,1,2,0.125,0.214285714,0
185,0,1,1,1.928571429,0.125,0.214285714,0
186,0,1,1,1.125,0.125,0.125,0
187,0,1,1,0,0,0,1
188,0,1,1,0.125,0,0.125,1
189,0,1,1,0.214285714,0.125,0.125,1
190,0,1,1,0.267857143,0.214285714,0.125,1
191,0,1,1,0.267857143,0.214285714,0.125,1
192,1,1,2,0.267857143,0.214285714,0.125,1
193,1,0,1,0.267857143,0.214285714,0.125,1
194,1,0,1,0.267857143,0.214285714,0.125,1
195,0,1,1,0.267857143,0.214285714,0.125,1
196,0,1,1,0.214285714,0.214285714,0.125,1
197,0,1,1,0.553571429,0.125,0.125,1
198,0,1,1,0.5,0,0.214285714,1
199,0,1,1,0.5,0,0.214285714,1
200,0,1,2,0.5,0,0.214285714,1
201,2,1,1,0.5,0,0.214285714,1
202,0,1,2,0.5,0,0.214285714,1
203,0,1,1,0.5,0,0.214285714,1
204,0,1,1,0.5,0,0.125,1
205,0,1,1,0,0,0.125,1
206,0,1,1,0,0,0,1
207,0,1,1,0,0,0,1
208,0,1,1,0,0,0,1
209,0,1,1,0,0,0,1
210,0,1,1,1.125,0,0,0
211,0,1,1,1.125,0,0,0
212,0,1,1,1.125,0,0,0
213,0,1,1,1.125,0,0,0
214,3,1,1,1.125,0,0,0
215,0,1,1,1.125,0,0.125,0
216,0,1,1,1.125,0,0.214285714,0
217,0,1,1,1.125,0,0.267857143,0
218,0,1,1,0,0,0.285714286,1
219,0,1,2,0,0,0.5,1
220,0,1,2,1.125,0,0.5,0
221,0,1,2,1.125,0,0.410714286,0
222,0,1,2,1.125,0,0.285714286,0
223,0,1,3,1.125,0,0.285714286,0
224,3,1,1,1.125,0,0.285714286,0
225,0,1,2,1.410714286,0,0.410714286,0
226,0,1,2,1.410714286,0,0.410714286,0
227,0,1,2,1.553571429,0,0.267857143,0
228,0,1,2,0.839285714,0,0.267857143,1
229,2,1,1,0.982142857,0,0.267857143,1
230,0,1,2,0.982142857,0,0.285714286,1
231,2,1,1,0.982142857,0,0.267857143,1
232,1,1,1,0.982142857,0,0.214285714,1
233,2,1,2,0.839285714,0,0.214285714,1
234,0,1,1,0.982142857,0,0.553571429,1
235,0,1,1,0.982142857,0.125,0.839285714,1
236,0,1,1,0.982142857,0.125,0.839285714,1
237,0,1,1,0.785714286,0.125,0.857142857,1
238,2,1,3,0.696428571,0.125,0.857142857,1
239,2,0,3,1.071428571,0.125,0.857142857,0
240,1,1,1,1.125,0.214285714,1.071428571,0
241,1,1,1,0.696428571,0.267857143,1.553571429,0
242,1,1,1,0.857142857,0.267857143,1.428571429,0
243,3,1,1,0.982142857,0.214285714,1.357142857,0
244,3,0,3,0.982142857,0.214285714,1.428571429,0
245,2,0,4,0.785714286,0.214285714,1.428571429,0
246,3,1,2,1.267857143,0.214285714,1.357142857,0
247,3,1,1,1.642857143,0.214285714,1.357142857,0
248,1,1,3,1.428571429,0.214285714,1.428571429,0
249,2,1,1,1.410714286,0.125,0.839285714,0
250,0,1,3,1.142857143,0.125,0.857142857,0
251,0,1,1,0.553571429,0.125,0.857142857,1
252,1,0,1,0.571428571,0.125,0.5,1
253,1,1,1,0.214285714,0.125,0.5,1
254,0,1,1,0.214285714,0.125,0,1
255,0,1,1,0.214285714,0.125,0,1
256,0,1,1,0.125,0,0,1
257,0,1,1,0,0,0,1
258,0,1,1,0,0,0,1
259,0,1,1,0,0,0,1
260,0,1,1,0,0,0,1
261,0,1,1,0,0,0,1
262,0,1,1,0,0,0,1
263,0,1,1,0,0,0,1
264,0,1,1,0,0,0,1
265,0,1,1,0,0,0,1
266,0,1,1,0,0,0,1
267,0,1,1,0,0,0.125,1
268,0,1,1,0,0,0.214285714,1
269,0,1,1,0.125,0,0.267857143,1
270,0,1,1,0.553571429,0,0.285714286,1
271,0,1,2,0.571428571,0.125,0.267857143,1
272,0,1,2,0.553571429,0.214285714,0.214285714,1
273,1,1,2,0.696428571,0.267857143,0.285714286,1
274,2,1,2,0.571428571,0.285714286,0.285714286,1
275,1,0,2,0.410714286,0.285714286,0.410714286,1
276,1,0,2,0.214285714,0.285714286,0.5,1
277,2,0,3,0.214285714,0.285714286,0.553571429,1
278,1,0,1,0.214285714,0.285714286,0.553571429,1
279,1,1,1,0.410714286,0.267857143,0.553571429,1
280,1,1,1,0.571428571,0.214285714,0.571428571,1
281,1,1,1,0.410714286,0.125,0.214285714,1
282,2,1,2,0.5,0,0.214285714,1
283,0,1,2,0.5,0,0.214285714,1
284,0,1,1,0.553571429,0,0.214285714,1
285,1,1,1,0.571428571,0,0.214285714,1
286,0,1,1,0.214285714,0,0.125,1
287,1,1,1,0.214285714,0,0,1
288,0,1,1,0.214285714,0,0,1
289,0,1,1,0.125,0,0,1
290,0,1,1,0.125,0,0,1
291,0,1,1,0,0,0,1
292,0,1,1,0.5,0,0,1
293,0,1,1,0.553571429,0.125,0,1
294,0,1,1,0.571428571,0.125,0,1
295,0,1,1,0.785714286,0.214285714,0,1
296,2,1,1,0.696428571,0.267857143,0,1
297,1,0,1,0.571428571,0.267857143,0.125,1
298,1,1,1,0.410714286,0.285714286,0.125,1
299,2,0,1,0.571428571,0.285714286,0.125,1
300,1,0,1,0.785714286,0.285714286,0.214285714,1
301,1,1,2,0.982142857,0.267857143,0.267857143,1
302,1,0,1,0.982142857,0.267857143,0.267857143,1
303,3,1,1,0.982142857,0.214285714,0.285714286,1
304,0,1,2,0.982142857,0.125,0.285714286,1
305,0,1,2,0.982142857,0.214285714,0.267857143,1
306,1,1,1,1.553571429,0.214285714,0.5,0
307,0,1,2,1.071428571,0.214285714,0.5,0
308,1,1,1,1.553571429,0.267857143,0.571428571,0
309,1,0,1,1.410714286,0.285714286,0.410714286,0
310,3,0,0,1.410714286,0.267857143,0.410714286,0
311,0,1,1,1.839285714,0.214285714,0.267857143,0
312,3,0,0,2.214285714,0.214285714,0.267857143,0
313,2,0,1,2.553571429,0.267857143,0.267857143,0
314,1,0,1,2.267857143,0.267857143,0.214285714,0
315,4,0,0,2,0.214285714,0.214285714,0
316,0,1,1,1.642857143,0.214285714,0.125,0
317,0,1,1,1.553571429,0.214285714,0.125,0
318,1,0,1,1.714285714,0.267857143,0.125,0
319,1,0,1,0.5,0.285714286,0.125,1
320,1,0,1,0.571428571,0.285714286,0.214285714,1
321,1,0,1,0.5,0.267857143,0.214285714,1
322,0,1,1,0.553571429,0.267857143,0.571428571,1
323,2,1,2,0.571428571,0.285714286,0.553571429,1
324,2,1,2,0.785714286,0.267857143,0.5,1
325,2,0,1,0.785714286,0.214285714,0.410714286,1
326,2,0,3,0.410714286,0.214285714,0.410714286,1
327,2,1,2,0.839285714,0.214285714,0.410714286,1
328,3,1,2,0.839285714,0.214285714,0.5,1
329,1,1,2,1.125,0.125,0.410714286,0
330,1,1,1,1.071428571,0,0.267857143,0
331,0,1,2,0.982142857,0,0.285714286,1
332,2,1,1,0.5,0,0.285714286,1
333,0,1,2,0.553571429,0,0.285714286,1
334,1,1,1,0.571428571,0,0.267857143,1
335,1,1,1,0.571428571,0,0.267857143,1
336,0,1,2,0.267857143,0,0.267857143,1
337,0,1,2,0.267857143,0,0.285714286,1
338,0,1,2,0.214285714,0,0.285714286,1
339,0,1,2,0.125,0,0.285714286,1
340,1,1,1,0.214285714,0.125,0.267857143,1
341,0,1,1,1.125,0.125,0.267857143,0
342,0,1,1,1.125,0.125,0.214285714,0
343,0,1,1,1.125,0.125,0.125,0
344,1,0,1,1.142857143,0.125,0.125,0
345,3,1,2,1.142857143,0.125,0.125,0
346,0,1,1,1.142857143,0.125,0.125,0
347,0,1,1,1.125,0.125,0.214285714,0
348,0,1,1,1.142857143,0,0.214285714,0
349,0,1,1,0.125,0,0.125,1
350,0,1,1,0.125,0,0.125,1
351,1,1,2,0.214285714,0.125,0.125,1
352,0,1,1,0.571428571,0.214285714,0.285714286,1
353,0,1,1,0.785714286,0.214285714,0.285714286,1
354,0,1,1,0.696428571,0.214285714,0.410714286,1
355,1,0,1,0.696428571,0.214285714,0.410714286,1
356,2,0,0,0.571428571,0.267857143,0.410714286,1
357,2,1,1,0.571428571,0.267857143,0.410714286,1
358,1,1,2,0.410714286,0.285714286,0.410714286,1
359,1,1,2,0.5,0.285714286,0.5,1
360,1,0,1,0.410714286,0.285714286,0.267857143,1
361,0,1,1,0.285714286,0.267857143,0.267857143,1
362,1,0,1,0.410714286,0.267857143,0.214285714,1
363,2,0,2,0.5,0.267857143,0.125,1
364,1,0,1,0.553571429,0.285714286,0.125,1
365,1,0,1,0.553571429,0.285714286,0.125,1
366,0,1,1,0.553571429,0.267857143,0.125,1
367,0,1,1,0.285714286,0.214285714,0,1
368,0,1,1,1.839285714,0.214285714,0.125,0
369,0,1,1,1.928571429,0.125,0.125,0
370,1,1,1,1.928571429,0.125,0.125,0
