,pc,dc,qc,,,,
1,1,0,1,,,,
2,0,1,1,,,,
3,1,1,1,,,,
4,0,1,1,0.982142857,0.125,0,1
5,1,1,1,1.071428571,0,0,0
6,2,1,1,1.071428571,0,0,0
7,1,1,1,1.267857143,0,0,0
8,3,1,1,1.267857143,0,0,0
9,2,1,1,1.267857143,0,0,0
10,0,1,1,1.142857143,0.125,0,0
11,0,1,1,1.142857143,0.214285714,0,0
12,0,1,1,1.142857143,0.214285714,0,0
13,1,1,1,1.071428571,0.214285714,0,0
14,1,0,1,1.071428571,0.214285714,0,0
15,1,0,1,1.071428571,0.214285714,0,0
16,3,1,1,1.071428571,0.214285714,0,0
17,0,1,1,1.125,0.214285714,0,0
18,0,1,1,1.125,0.125,0,0
19,0,1,1,1.142857143,0,0,0
20,0,1,1,0.214285714,0.125,0,1
21,0,1,1,0.571428571,0.214285714,0.125,1
22,1,1,1,2,0.267857143,0.285714286,0
23,0,1,1,1.839285714,0.267857143,0.285714286,0
24,1,0,1,1.642857143,0.267857143,0.285714286,0
25,2,0,0,1.410714286,0.285714286,0.285714286,0
26,4,0,2,1.428571429,0.267857143,0.410714286,0
27,1,1,1,1.071428571,0.214285714,0.410714286,0
28,1,1,1,1.071428571,0.214285714,0.410714286,0
29,1,0,1,1.125,0.214285714,0.285714286,0
30,2,0,0,0.214285714,0.214285714,0.285714286,1
31,2,0,1,0.214285714,0.125,0.285714286,1
32,1,0,1,0.267857143,0,0.410714286,1
33,1,0,1,0.267857143,0,0.410714286,1
34,1,0,2,0.267857143,0,0.410714286,1
35,1,0,1,0.214285714,0,0.410714286,1
36,2,0,0,0.410714286,0.125,0.410714286,1
37,1,0,1,0.5,0.214285714,0.571428571,1
38,2,0,0,0.5,0.214285714,0.410714286,1
39,1,0,1,1.410714286,0.214285714,0.5,0
40,0,1,1,1.428571429,0.267857143,0.410714286,0
41,2,1,2,1.428571429,0.285714286,0.410714286,0
42,1,0,1,1.428571429,0.267857143,0.410714286,0
43,4,0,0,1.696428571,0.214285714,0.5,0
44,1,1,1,1.696428571,0.214285714,0.553571429,0
45,1,1,1,1.642857143,0.214285714,0.553571429,0
46,2,1,2,1.839285714,0.125,0.553571429,0
47,0,1,2,0.553571429,0,0.285714286,1
48,0,1,2,0.553571429,0.125,0.285714286,1
49,1,1,2,1.267857143,0.214285714,0.267857143,0
50,0,1,1,1.071428571,0.267857143,0.285714286,0
51,0,1,1,1.142857143,0.267857143,0.267857143,0
52,1,0,1,1.142857143,0.267857143,0.214285714,0
53,3,0,2,1.142857143,0.267857143,0.125,0
54,1,0,1,1.410714286,0.267857143,0.125,0
55,2,1,1,1.410714286,0.267857143,0.125,0
56,0,1,1,1.410714286,0.214285714,0.125,0
57,1,1,1,1.142857143,0.125,0,0
58,3,1,1,1.267857143,0,0.125,0
59,0,1,1,1.267857143,0,0.214285714,0
60,1,1,1,1.267857143,0,0.267857143,0
61,0,1,1,1.357142857,0,0.553571429,0
62,2,1,2,0.571428571,0,0.553571429,1
63,0,1,2,0.785714286,0.125,0.857142857,1
64,0,1,2,0.982142857,0.125,0.857142857,1
65,0,1,3,0.982142857,0.125,1.071428571,0
66,1,1,1,0.857142857,0.125,1.125,0
67,2,0,0,0.857142857,0.214285714,1.357142857,0
68,2,1,1,0.696428571,0.267857143,1.410714286,0
69,2,1,3,0.696428571,0.267857143,1.125,0
70,1,1,1,0.785714286,0.285714286,1.142857143,0
71,0,0,3,0.696428571,0.285714286,0.839285714,1
72,1,0,1,0.696428571,0.285714286,0.785714286,1
73,0,1,1,0.553571429,0.285714286,0.553571429,1
74,2,0,2,0.571428571,0.285714286,0.5,1
75,1,0,1,0.571428571,0.267857143,0.285714286,1
76,0,1,2,0.553571429,0.214285714,0.285714286,1
77,0,1,2,0.553571429,0.214285714,0.285714286,1
78,0,1,2,0.125,0.125,0.267857143,1
79,0,1,1,0,0,0.267857143,1
80,0,1,1,0.125,0,0.214285714,1
81,0,1,1,0.125,0,0.553571429,1
82,0,1,1,0.214285714,0.125,0.553571429,1
83,0,1,1,0.571428571,0.214285714,0.553571429,1
84,1,1,1,0.785714286,0.267857143,0.553571429,1
85,0,1,3,0.857142857,0.267857143,0.571428571,1
86,1,0,2,0.696428571,0.267857143,0.571428571,1
87,2,0,1,0.553571429,0.285714286,0.571428571,1
88,2,0,1,0.553571429,0.267857143,0.571428571,1
89,2,1,2,0.267857143,0.214285714,0.214285714,1
90,1,1,1,0.267857143,0.214285714,0.214285714,1
91,2,0,1,0.553571429,0.267857143,0.267857143,1
92,1,0,1,0.5,0.285714286,0.267857143,1
93,2,0,1,0.5,0.285714286,0.214285714,1
94,1,0,2,0.553571429,0.285714286,0.267857143,1
95,0,1,2,0.5,0.285714286,0.285714286,1
96,1,1,1,0.5,0.285714286,0.267857143,1
97,2,1,1,0.571428571,0.267857143,0.267857143,1
