,pc,dc,qc,,,,
1,2,1,1,,,,
2,0,1,1,,,,
3,1,0,1,,,,
4,1,0,2,0.696428571,0.267857143,0.285714286,1
5,2,0,1,0.553571429,0.267857143,0.285714286,1
6,0,1,2,0.553571429,0.267857143,0.285714286,1
7,1,1,2,0.571428571,0.214285714,0.285714286,1
8,0,1,2,0.553571429,0.125,0.285714286,1
9,0,1,1,1.142857143,0,0.285714286,0
10,0,1,1,1.125,0,0.267857143,0
11,0,1,1,1.142857143,0,0.267857143,0
12,0,1,2,1.142857143,0,0.214285714,0
13,3,1,1,1.125,0,0.267857143,0
14,1,1,1,1.125,0,0.267857143,0
15,0,1,2,1.071428571,0,0.267857143,0
16,0,1,1,1.071428571,0,0.214285714,0
17,1,1,2,0.267857143,0,0.214285714,1
18,0,1,1,0.214285714,0,0.214285714,1
19,1,1,1,0.267857143,0,0.125,1
20,0,1,1,0.267857143,0,0.125,1
21,0,1,1,0.214285714,0,0,1
22,0,1,1,0.267857143,0,0,1
23,1,1,1,0.214285714,0,0,1
24,0,1,1,0.267857143,0,0.125,1
25,0,1,1,0.267857143,0,0.125,1
26,1,1,1,0.267857143,0,0.125,1
27,0,1,1,0.571428571,0,0.125,1
28,1,1,2,0.785714286,0,0.125,1
29,0,1,1,0.785714286,0,0.125,1
30,0,1,1,0.839285714,0,0.125,1
31,2,1,1,0.785714286,0,0.125,1
32,2,1,1,0.839285714,0,0,1
33,0,1,1,0.839285714,0,0,1
34,0,1,1,0.839285714,0,0.125,1
35,1,1,1,0.553571429,0,0.125,1
36,0,1,1,0.125,0,0.214285714,1
37,0,1,1,0.214285714,0.125,0.214285714,1
38,0,1,2,0.267857143,0.214285714,0.214285714,1
39,0,1,1,0.214285714,0.214285714,0.214285714,1
40,0,1,2,0.267857143,0.267857143,0.214285714,1
41,1,0,1,0.285714286,0.285714286,0.214285714,1
42,1,0,1,0.285714286,0.285714286,0.125,1
43,0,1,1,0.982142857,0.285714286,0.125,1
