volume,volatility,time
8.394190871,4.002449154,200
8.34439834,3.998728734,201
8.211618257,3.997348156,202
8.20746888,3.996790103,203
8.078838174,4.00034466,204
7.77593361,4.00701857,205
7.692946058,4.021425479,206
7.564315353,4.031740394,207
7.556016598,4.043992705,208
7.539419087,4.052476414,209
7.543568465,4.059242549,210
7.526970954,4.068495503,211
7.522821577,4.070640746,212
7.352697095,4.068228825,213
7.286307054,4.064207098,214
7.261410788,4.057758221,215
7.22406639,4.050164531,216
7.153526971,4.041847412,217
7.008298755,4.033944356,218
6.800829876,4.025386363,219
6.784232365,4.016833129,220
6.713692946,4.008154645,221
6.742738589,4.000005247,222
6.738589212,3.993638383,223
6.726141079,3.985500594,224
6.717842324,3.977963924,225
6.721991701,3.970756927,226
6.676348548,3.962795499,227
6.680497925,3.956101949,228
6.684647303,3.948994122,229
6.692946058,3.943208153,230
6.668049793,3.91140779,231
6.639004149,3.890696799,232
6.65560166,3.863933838,233
6.659751037,3.823685895,234
6.651452282,3.781755098,235
6.643153527,3.744222993,236
6.639004149,3.712915089,237
6.556016598,3.679443002,238
6.522821577,3.663718076,239
6.385892116,3.652348388,240
6.273858921,3.636337763,241
6.145228216,3.612767058,242
6.049792531,3.590216033,243
5.941908714,3.569338324,244
5.937759336,3.541474151,245
5.921161826,3.526978192,246
5.908713693,3.524723145,247
5.946058091,3.530664981,248
5.941908714,3.537704303,249
5.941908714,3.546302094,250
5.946058091,3.563852129,251
5.89626556,3.565595482,252
5.887966805,3.564945627,253
5.887966805,3.556338022,254
5.892116183,3.542752281,255
5.908713693,3.527545101,256
5.937759336,3.51000398,257
5.98340249,3.490177756,258
6.029045643,3.484916322,259
6.099585062,3.480932098,260
6.153526971,3.475005416,261
6.170124481,3.463341267,262
6.190871369,3.456273662,263
6.219917012,3.445642115,264
6.257261411,3.426066531,265
6.215767635,3.402760129,266
6.215767635,3.373170071,267
6.261410788,3.33965824,268
6.190871369,3.312866567,269
6.091286307,3.295113288,270
6.058091286,3.280061788,271
6.020746888,3.260819426,272
5.987551867,3.24739187,273
5.917012448,3.232039365,274
5.875518672,3.226041918,275
5.867219917,3.228233676,276
5.846473029,3.234845211,277
5.846473029,3.254812223,278
5.842323651,3.269765556,279
5.734439834,3.281414228,280
5.676348548,3.294623303,281
5.634854772,3.309585116,282
5.605809129,3.327075536,283
5.601659751,3.34701886,284
5.576763485,3.365086448,285
5.526970954,3.389403868,286
5.443983402,3.414370177,287
5.410788382,3.437112217,288
5.365145228,3.449553785,289
5.34439834,3.459719128,290
5.315352697,3.477343206,291
5.244813278,3.521454599,292
5.203319502,3.573197835,293
5.170124481,3.617740354,294
5.136929461,3.663966191,295
5.112033195,3.700588662,296
5.053941909,3.733722087,297
5.058091286,3.760716174,298
5.029045643,3.777743162,299
5.012448133,3.79672453,300
5,3.817800574,301
5,3.840096512,302
5,3.865319535,303
4.975103734,3.885606055,304
4.958506224,3.901329466,305
4.941908714,3.908587354,306
4.925311203,3.911044509,307
4.875518672,3.91378263,308
4.804979253,3.91502893,309
4.763485477,3.918406489,310
4.730290456,3.923121192,311
4.734439834,3.922933036,312
4.709543568,3.924271439,313
4.697095436,3.923643484,314
4.663900415,3.926003374,315
4.639004149,3.92843744,316
4.593360996,3.931446246,317
4.597510373,3.934401055,318
4.56846473,3.935712218,319
4.526970954,3.93696391,320
4.531120332,3.934526612,321
4.493775934,3.935090707,322
4.46473029,3.934273161,323
4.443983402,3.932381294,324
4.419087137,3.931470696,325
4.385892116,3.931461797,326
4.352697095,3.931594428,327
4.348547718,3.931548103,328
4.331950207,3.932307419,329
4.319502075,3.933275951,330
4.331950207,3.93324537,331
4.315352697,3.933259207,332
4.385892116,3.93415446,333
4.373443983,3.934601088,334
4.32780083,3.935069009,335
4.348547718,3.935918007,336
4.331950207,3.937225609,337
4.32780083,3.938227366,338
4.32780083,3.94025431,339
4.331950207,3.942206826,340
4.315352697,3.944539255,341
4.31120332,3.945158411,342
4.298755187,3.945596306,343
4.278008299,3.945123881,344
4.273858921,3.944514545,345
4.269709544,3.94409162,346
4.248962656,3.944947612,347
4.244813278,3.947114531,348
4.2406639,3.948628868,349
4.2406639,3.950135757,350
4.265560166,3.960717934,351
4.265560166,3.97116858,352
4.261410788,3.973375321,353
4.253112033,3.970437227,354
4.248962656,3.965149973,355
4.244813278,3.955620963,356
4.22406639,3.941368209,357
4.219917012,3.929924864,358
4.22406639,3.91822438,359
4.211618257,3.905928,360
4.211618257,3.890154166,361
4.219917012,3.887912259,362
4.195020747,3.884241147,363
4.22406639,3.881314961,364
4.22406639,3.874318666,365
4.203319502,3.863860318,366
4.182572614,3.851456145,367
4.170124481,3.841429095,368
4.174273859,3.836691932,369
4.170124481,3.834523503,370
4.161825726,3.834774751,371
4.161825726,3.836087688,372
4.153526971,3.833967364,373
4.128630705,3.83354791,374
4.136929461,3.836325624,375
4.132780083,3.838910186,376
4.136929461,3.836878244,377
4.136929461,3.832726509,378
4.141078838,3.822642124,379
4.145228216,3.817209777,380
4.132780083,3.809965977,381
4.087136929,3.785783687,382
4.087136929,3.768289989,383
4.074688797,3.756538698,384
4.074688797,3.752989919,385
4.058091286,3.75160695,386
4.062240664,3.749861034,387
4.062240664,3.744431932,388
4.049792531,3.731401434,389
4.053941909,3.712156323,390
4.078838174,3.699042345,391
4.078838174,3.67548605,392
4.074688797,3.659259488,393
4.074688797,3.639902218,394
4.099585062,3.624736354,395
4.070539419,3.607616418,396
4.082987552,3.595553444,397
4.058091286,3.590760614,398
4.041493776,3.595026761,399
4.078838174,3.598921308,400
4.099585062,3.600556178,401
4.145228216,3.602927511,402
4.161825726,3.605780543,403
4.157676349,3.607702769,404
4.149377593,3.61314086,405
4.236514523,3.624339364,406
4.215767635,3.62835026,407
4.203319502,3.63076299,408
4.186721992,3.633845643,409
4.170124481,3.636942391,410
4.165975104,3.644612248,411
4.107883817,3.640799952,412
4.062240664,3.629030012,413
4.049792531,3.619966425,414
4.033195021,3.616621405,415
3.995850622,3.61134511,416
4,3.591684667,417
4.012448133,3.588618554,418
4.01659751,3.589002367,419
4.024896266,3.589007345,420
4.020746888,3.588771284,421
4.012448133,3.590084928,422
4.01659751,3.59047315,423
4.024896266,3.588145404,424
4.037344398,3.581257333,425
4.012448133,3.570842478,426
3.979253112,3.561722566,427
3.98340249,3.550103237,428
3.979253112,3.539952251,429
3.970954357,3.534538153,430
3.966804979,3.528988701,431
3.941908714,3.517989832,432
3.929460581,3.503564405,433
3.929460581,3.489640143,434
3.925311203,3.474798345,435
3.912863071,3.46097969,436
3.912863071,3.449271952,437
3.887966805,3.44011879,438
3.87966805,3.430419507,439
3.875518672,3.415420179,440
3.995850622,3.39312537,441
4.01659751,3.366438399,442
4.01659751,3.336636638,443
4.01659751,3.297701746,444
4.024896266,3.252263928,445
4.070539419,3.191389587,446
4.074688797,3.135565034,447
4.095435685,3.074684559,448
4.095435685,3.018130021,449
4.12033195,2.962599126,450
4.116182573,2.902745563,451
4.128630705,2.859390173,452
4.141078838,2.825142717,453
4.165975104,2.793732815,454
4.199170124,2.768831086,455
4.236514523,2.751616151,456
4.22406639,2.738380877,457
4.219917012,2.721548525,458
4.228215768,2.70701765,459
4.20746888,2.694918173,460
4.199170124,2.68534766,461
4.211618257,2.686939616,462
4.186721992,2.69123535,463
4.165975104,2.692201004,464
4.199170124,2.696857398,465
4.195020747,2.702325047,466
4.182572614,2.706885803,467
4.20746888,2.714574549,468
4.199170124,2.721869991,469
4.211618257,2.730999687,470
4.456431535,2.741142622,471
4.560165975,2.753349374,472
4.68879668,2.764503481,473
4.846473029,2.787378845,474
4.925311203,2.805345341,475
5.020746888,2.824425126,476
5.099585062,2.844826586,477
5.356846473,2.862161775,478
5.402489627,2.874269284,479
5.489626556,2.880851639,480
5.634854772,2.884812554,481
5.755186722,2.886758053,482
5.863070539,2.89008393,483
5.937759336,2.89251246,484
6.004149378,2.894930396,485
6.070539419,2.895475047,486
6.182572614,2.894092455,487
6.253112033,2.892681367,488
6.352697095,2.88989326,489
6.385892116,2.886124534,490
6.510373444,2.875227488,491
6.576763485,2.874569195,492
6.576763485,2.873979191,493
6.605809129,2.875336994,494
6.609958506,2.87809885,495
6.626556017,2.885325641,496
6.643153527,2.895294918,497
6.65560166,2.906331713,498
6.7593361,2.920938223,499
6.800829876,2.9421402,500
6.912863071,2.967657107,501
6.933609959,2.992513557,502
6.900414938,3.011794474,503
7.004149378,3.028631532,504
7.062240664,3.041575921,505
7.074688797,3.058465857,506
7.203319502,3.077260504,507
7.331950207,3.098780728,508
7.373443983,3.121591619,509
7.398340249,3.146776883,510
7.398340249,3.168838952,511
7.44813278,3.184005338,512
7.460580913,3.1990394,513
7.485477178,3.212189453,514
7.547717842,3.219035677,515
7.589211618,3.226081111,516
7.634854772,3.233578732,517
7.726141079,3.250885434,518
7.742738589,3.284017989,519
7.742738589,3.324267572,520
7.821576763,3.366741376,521
7.929460581,3.411598269,522
8.020746888,3.445500301,523
8.116182573,3.484155583,524
8.112033195,3.516573,525
8.132780083,3.534772505,526
8.170124481,3.549400723,527
8.211618257,3.555997885,528
8.34439834,3.573709264,529
8.381742739,3.584791346,530
8.381742739,3.582988737,531
8.402489627,3.570562094,532
8.410788382,3.552428567,533
8.497925311,3.531009826,534
8.514522822,3.510940872,535
8.547717842,3.493588979,536
8.576763485,3.474867303,537
8.626556017,3.454981258,538
8.622406639,3.443414003,539
8.651452282,3.426968339,540
8.701244813,3.40802478,541
8.734439834,3.391910203,542
8.746887967,3.380688619,543
8.726141079,3.379815741,544
8.730290456,3.381242547,545
8.726141079,3.383231689,546
8.730290456,3.391359133,547
8.734439834,3.400777876,548
8.738589212,3.407393786,549
8.742738589,3.406788317,550
8.7593361,3.404706521,551
8.825726141,3.407110909,552
8.821576763,3.404225681,553
8.846473029,3.403338859,554
8.838174274,3.402067581,555
8.846473029,3.397613948,556
8.846473029,3.393345685,557
8.850622407,3.383820105,558
8.846473029,3.376179962,559
8.842323651,3.365179756,560
8.846473029,3.359118498,561
8.829875519,3.349999502,562
8.834024896,3.347878381,563
8.829875519,3.347956093,564
8.829875519,3.353148841,565
8.829875519,3.362597779,566
8.838174274,3.377710576,567
8.842323651,3.397819202,568
8.846473029,3.425154654,569
8.867219917,3.451358935,570
8.867219917,3.482422373,571
8.854771784,3.516804497,572
8.858921162,3.549625244,573
8.780082988,3.581382907,574
8.767634855,3.622243848,575
8.767634855,3.67018695,576
8.721991701,3.702191654,577
8.734439834,3.734635947,578
8.742738589,3.767992377,579
8.755186722,3.798008848,580
8.755186722,3.820649596,581
8.780082988,3.840632344,582
8.800829876,3.854129711,583
8.821576763,3.866602517,584
8.813278008,3.87407177,585
8.813278008,3.878975645,586
8.834024896,3.879439476,587
8.842323651,3.877011143,588
8.850622407,3.874544381,589
8.863070539,3.871548183,590
8.892116183,4.311697884,591
8.883817427,4.863992986,592
8.87966805,5.306781117,593
8.883817427,5.768007361,594
8.892116183,6.22018089,595
8.887966805,6.557671597,596
8.89626556,6.88079921,597
8.908713693,7.215466603,598
8.900414938,7.524844558,599
8.883817427,7.775395111,600
8.883817427,8.020391277,601
8.883817427,8.283503704,602
8.883817427,8.630256768,603
8.883817427,8.966298068,604
8.825726141,9.261257015,605
8.825726141,9.571738572,606
8.817427386,9.867618869,607
8.817427386,10.23221134,608
8.821576763,10.5807013,609
8.817427386,10.9350242,610
8.825726141,11.27122745,611
8.813278008,11.6153852,612
8.804979253,11.91973481,613
8.813278008,12.19644249,614
8.809128631,12.42602676,615
8.800829876,12.65632,616
8.800829876,12.87682821,617
8.804979253,13.11013792,618
8.809128631,13.3263798,619
8.838174274,13.53817243,620
8.871369295,13.75300519,621
8.883817427,14.01682655,622
8.925311203,14.27764782,623
8.946058091,14.53673209,624
8.970954357,14.76624327,625
8.98340249,14.984536,626
8.991701245,15.21921732,627
9.008298755,15.4486463,628
9.012448133,15.69538097,629
9.029045643,15.9482699,630
9.058091286,16.18662556,631
9.037344398,16.40855401,632
9.066390041,16.62932508,633
9.074688797,16.85850532,634
9.157676349,17.07401515,635
9.145228216,17.26678692,636
9.186721992,17.48702892,637
9.165975104,17.72246732,638
9.178423237,17.9580937,639
9.186721992,18.19000038,640
9.153526971,18.40830739,641
9.12033195,18.6171141,642
9.091286307,18.82479933,643
9.082987552,19.0266689,644
9.107883817,19.22389148,645
9.12033195,19.43412569,646
9.058091286,19.64434298,647
9.041493776,19.843497,648
9.082987552,20.02778887,649
9.082987552,20.19760913,650
9.095435685,20.34835926,651
9.087136929,20.48773809,652
9.087136929,20.63311062,653
9.099585062,20.77368749,654
9.095435685,20.90714914,655
9.107883817,21.04196353,656
9.091286307,21.16464592,657
9.087136929,21.28199091,658
9.074688797,21.39753792,659
9.070539419,21.50857365,660
9.070539419,21.61728586,661
9.078838174,21.71445958,662
9.074688797,21.8034387,663
9.074688797,21.89014473,664
9.087136929,21.97090927,665
9.107883817,22.05401289,666
9.136929461,22.13383915,667
9.165975104,22.21460532,668
9.232365145,22.28976851,669
9.2406639,22.36534201,670
9.261410788,22.43564738,671
9.31120332,22.49676757,672
9.423236515,22.55120101,673
9.477178423,22.60007798,674
9.721991701,22.65242318,675
9.809128631,22.70523571,676
9.834024896,22.75265872,677
9.850622407,22.80217492,678
9.892116183,22.85059476,679
9.933609959,22.90568183,680
9.958506224,22.96700131,681
9.871369295,23.0328299,682
9.87966805,23.0957488,683
9.883817427,23.15904822,684
9.900414938,23.22281627,685
9.921161826,23.28493003,686
9.875518672,23.34651016,687
9.883817427,23.41608577,688
9.883817427,23.48260939,689
9.900414938,23.55235172,690
9.89626556,23.61429698,691
9.89626556,23.6746159,692
9.933609959,23.72964158,693
9.941908714,23.78172295,694
9.917012448,23.8341028,695
9.908713693,23.88755178,696
9.883817427,23.94085239,697
9.929460581,23.98866947,698
9.970954357,24.04277214,699
