,Unnamed: 0,datetime,code,open,volume,amt,open_interest,index,volume_smooth120,volume_smooth240,volatility_day,volatility_fix,volatility_delay_day,volatility_delay_fix
10,130.0,2019/12/10 13:10,IF2006.CFE,3891.2,5.0,5837100.0,5965.861111,3890.89,4.333333333,7.800829876,1.2017597290144493,1.2017597290144493,0.0,0.0
11,131.0,2019/12/10 13:11,IF2006.CFE,3891.8,4.0,4670100.0,5968.0,3890.57,4.341666667,7.875518672,1.2014181435101914,1.2014181435101914,0.6349999999999909,0.6349999999999909
12,132.0,2019/12/10 13:12,IF2006.CFE,3891.6,2.0,2335440.0,5969.0,3890.32,4.35,7.9543568460000005,1.1787552355452684,1.1787552355452684,0.5249973544906784,0.5249973544906784
13,133.0,2019/12/10 13:13,IF2006.CFE,3892.4,1.0,1167360.0,5969.0,3890.1,4.416666667,8.0,1.146608130130587,1.146608130130587,0.8493048628142607,0.8493048628142607
14,134.0,2019/12/10 13:14,IF2006.CFE,3891.2,2.0,2335560.0,5969.0,3889.65,4.383333333,8.033195021000001,1.108095463195969,1.108095463195969,0.8571254283942019,0.8571254283942019
15,135.0,2019/12/10 13:15,IF2006.CFE,3893.0,1.0,1168200.0,5968.04878,3891.18,4.408333333,7.9875518670000005,1.1437163587948254,1.1437163587948254,0.7911471979908905,0.7911471979908905
16,136.0,2019/12/10 13:16,IF2006.CFE,3894.0,18.0,21035940.0,5966.217390999999,3892.74,4.366666667,8.008298755,1.3271221824674015,1.3271221824674015,0.7371926893454983,0.7371926893454983
17,137.0,2019/12/10 13:17,IF2006.CFE,3894.8,5.0,5842020.0,5965.756757,3894.68,4.45,8.012448133,1.7025888965387388,1.7025888965387388,0.6908045581059573,0.6908045581059573
18,138.0,2019/12/10 13:18,IF2006.CFE,3893.4,5.0,5841360.0,5965.333333,3894.24,4.516666667,8.0,1.8978918177283406,1.8978918177283406,0.8748812970629928,0.8748812970629928
19,139.0,2019/12/10 13:19,IF2006.CFE,3892.8,3.0,3504600.0,5966.0,3893.83,4.508333333,7.962655602000001,2.0021685743212583,2.0021685743212583,1.1476915962051588,1.1476915962051588
20,140.0,2019/12/10 13:20,IF2006.CFE,3894.6,2.0,2336640.0,5966.642857,3893.87,4.733333333,7.979253112,2.082209492794058,2.082209492794058,1.2017597290144493,1.2017597290144493
21,141.0,2019/12/10 13:21,IF2006.CFE,3894.0,2.0,2336160.0,5967.1875,3893.37,4.883333333,7.995850622000001,2.1116532240977848,2.1116532240977848,1.2014181435101914,1.2014181435101914
22,142.0,2019/12/10 13:22,IF2006.CFE,3893.8,2.0,2336040.0,5968.0,3892.73,5.141666667,7.9543568460000005,2.1033502845839425,2.1033502845839425,1.1787552355452684,1.1787552355452684
23,143.0,2019/12/10 13:23,IF2006.CFE,3893.6,1.0,1168080.0,5968.0,3891.93,5.233333333,7.9502074689999995,2.0701268077100052,2.0701268077100052,1.146608130130587,1.146608130130587
24,144.0,2019/12/10 13:24,IF2006.CFE,3893.6,5.0,5839620.0,5969.947368,3891.48,5.35,7.813278007999999,2.0314290536466277,2.0314290536466277,1.108095463195969,1.108095463195969
25,145.0,2019/12/10 13:25,IF2006.CFE,3892.4,1.0,1167660.0,5971.0,3892.03,5.433333332999999,7.813278007999999,2.003221407113259,2.003221407113259,1.1437163587948254,1.1437163587948254
26,146.0,2019/12/10 13:26,IF2006.CFE,3892.2,3.0,3504060.0,5971.0,3891.73,5.675,7.796680498,1.9710021961084037,1.9710021961084037,1.3271221824674015,1.3271221824674015
27,147.0,2019/12/10 13:27,IF2006.CFE,3893.4,13.0,15186840.0,5974.333333,3891.57,5.7583333329999995,7.796680498,1.9383891310748427,1.9383891310748427,1.7025888965387388,1.7025888965387388
28,148.0,2019/12/10 13:28,IF2006.CFE,3895.4,3.0,3504300.0,5974.857143,3894.1,5.833333333,7.800829876,1.9859117956063264,1.9859117956063264,1.8978918177283406,1.8978918177283406
29,149.0,2019/12/10 13:29,IF2006.CFE,3894.0,4.0,4671720.0,5977.5909090000005,3894.54,5.933333332999999,7.800829876,2.0464918763580977,2.0464918763580977,2.0021685743212583,2.0021685743212583
30,150.0,2019/12/10 13:30,IF2006.CFE,3894.0,1.0,1168200.0,5978.0,3894.27,6.216666667,7.7883817429999995,2.0832239083298143,2.0832239083298143,2.082209492794058,2.082209492794058
31,151.0,2019/12/10 13:31,IF2006.CFE,3895.0,7.0,8179620.0,5977.0,3893.32,6.141666667000001,7.746887967,2.0792482866410453,2.0792482866410453,2.1116532240977848,2.1116532240977848
32,152.0,2019/12/10 13:32,IF2006.CFE,3894.0,1.0,1168200.0,5978.0,3894.52,6.35,7.709543568,2.116255507668462,2.116255507668462,2.1033502845839425,2.1033502845839425
33,153.0,2019/12/10 13:33,IF2006.CFE,3894.0,1.0,1167660.0,5977.307692,3893.79,6.925,7.705394191,2.1207051652513145,2.1207051652513145,2.0701268077100052,2.0701268077100052
