datetime,IF2012,IF2009,spread,index
2020/7/2 10:08,4172.0,4204.4,-32.4,4268.28
2020/7/2 10:09,4172.4,4204.4,-32.0,4268.28
2020/7/2 10:10,4179.6,4210.8,-31.2,4277.78
2020/7/2 10:11,4179.0,4209.6,-30.6,4277.78
2020/7/2 10:12,4184.2,4213.0,-28.8,4278.83
2020/7/2 10:13,4189.8,4219.2,-29.4,4278.97
2020/7/2 10:14,4192.4,4224.6,-32.2,4283.53
2020/7/2 10:15,4189.6,4220.6,-31.0,4284.91
2020/7/2 10:16,4188.6,4220.0,-31.4,4284.91
2020/7/2 10:17,4189.0,4223.8,-34.8,4280.02
2020/7/2 10:18,4188.8,4220.4,-31.6,4281.41
2020/7/2 10:19,4185.4,4216.8,-31.4,4283.96
2020/7/2 10:20,4182.0,4215.4,-33.4,4282.44
2020/7/2 10:21,4179.4,4210.4,-31.0,4282.44
2020/7/2 10:22,4184.6,4215.4,-30.8,4275.76
2020/7/2 10:23,4190.2,4221.6,-31.4,4274.41
2020/7/2 10:24,4189.4,4220.6,-31.2,4279.11
2020/7/2 10:25,4185.2,4215.2,-30.0,4280.08
2020/7/2 10:26,4192.8,4220.8,-28.0,4279.54
2020/7/2 10:27,4185.0,4215.2,-30.2,4277.24
2020/7/2 10:28,4181.8,4212.2,-30.4,4279.79
2020/7/2 10:29,4182.0,4212.0,-30.0,4278.42
2020/7/2 10:30,4186.2,4217.8,-31.6,4276.32
2020/7/2 10:31,4189.8,4219.0,-29.2,4275.78
2020/7/2 10:32,4186.6,4217.4,-30.8,4280.48
2020/7/2 10:33,4186.6,4216.6,-30.0,4280.48
2020/7/2 10:34,4186.4,4215.4,-29.0,4280.5
2020/7/2 10:35,4191.2,4223.0,-31.8,4279.26
2020/7/2 10:36,4185.0,4216.8,-31.8,4284.0
2020/7/2 10:37,4188.2,4217.6,-29.4,4285.43
2020/7/2 10:38,4191.0,4218.2,-27.2,4283.77
2020/7/2 10:39,4186.0,4215.8,-29.8,4285.05
2020/7/2 10:40,4183.6,4212.6,-29.0,4284.7
2020/7/2 10:41,4182.6,4212.8,-30.2,4283.39
2020/7/2 10:42,4182.4,4213.0,-30.6,4281.34
2020/7/2 10:43,4188.4,4219.0,-30.6,4279.79
2020/7/2 10:44,4185.0,4214.4,-29.4,4279.54
2020/7/2 10:45,4185.0,4214.8,-29.8,4283.11
2020/7/2 10:46,4188.0,4216.4,-28.4,4281.36
2020/7/2 10:47,4191.0,4219.8,-28.8,4281.93
2020/7/2 10:48,4186.0,4213.4,-27.4,4283.41
2020/7/2 10:49,4183.2,4212.8,-29.6,4282.85
2020/7/2 10:50,4174.6,4204.2,-29.6,4281.11
2020/7/2 10:51,4174.4,4203.8,-29.4,4278.49
2020/7/2 10:52,4172.2,4202.0,-29.8,4276.94
2020/7/2 10:53,4177.8,4203.8,-26.0,4272.43
2020/7/2 10:54,4180.6,4209.0,-28.4,4270.82
2020/7/2 10:55,4176.6,4206.6,-30.0,4272.02
2020/7/2 10:56,4180.0,4210.2,-30.2,4275.65
2020/7/2 10:57,4179.6,4212.0,-32.4,4276.24
2020/7/2 10:58,4180.0,4212.4,-32.4,4277.23
2020/7/2 10:59,4180.8,4211.0,-30.2,4279.25
2020/7/2 11:00,4185.8,4214.6,-28.8,4280.16
2020/7/2 11:01,4189.8,4218.0,-28.2,4281.55
2020/7/2 11:02,4186.8,4215.8,-29.0,4284.39
2020/7/2 11:03,4182.6,4213.2,-30.6,4285.37
2020/7/2 11:04,4182.0,4214.6,-32.6,4284.61
2020/7/2 11:05,4186.0,4216.6,-30.6,4283.98
2020/7/2 11:06,4186.0,4215.0,-29.0,4285.27
2020/7/2 11:07,4186.4,4216.6,-30.2,4285.86
2020/7/2 11:08,4192.6,4220.0,-27.4,4286.46
2020/7/2 11:09,4188.0,4217.2,-29.2,4290.27
2020/7/2 11:10,4182.4,4212.0,-29.6,4291.34
2020/7/2 11:11,4182.8,4212.2,-29.4,4288.7
2020/7/2 11:12,4180.2,4208.2,-28.0,4287.32
2020/7/2 11:13,4180.0,4208.2,-28.2,4285.35
2020/7/2 11:14,4186.4,4214.4,-28.0,4285.49
2020/7/2 11:15,4184.0,4212.2,-28.2,4286.75
2020/7/2 11:16,4187.2,4215.4,-28.2,4287.6
2020/7/2 11:17,4189.8,4218.4,-28.6,4288.37
2020/7/2 11:18,4186.6,4215.2,-28.6,4289.04
2020/7/2 11:19,4187.4,4216.4,-29.0,4289.97
2020/7/2 11:20,4190.4,4219.0,-28.6,4289.69
2020/7/2 11:21,4190.2,4219.6,-29.4,4290.79
2020/7/2 11:22,4189.0,4218.4,-29.4,4291.0
2020/7/2 11:23,4188.0,4215.2,-27.2,4291.93
2020/7/2 11:24,4192.0,4221.0,-29.0,4292.53
2020/7/2 11:25,4193.8,4222.6,-28.8,4290.9
2020/7/2 11:26,4194.4,4221.8,-27.4,4291.77
2020/7/2 11:27,4193.4,4220.0,-26.6,4296.3
2020/7/2 11:28,4191.0,4217.6,-26.6,4297.3
2020/7/2 11:29,4188.8,4219.0,-30.2,4296.34
2020/7/2 13:00,4193.6,4223.4,-29.8,4297.49
2020/7/2 13:01,4193.6,4222.4,-28.8,4297.57
2020/7/2 13:02,4193.4,4222.0,-28.6,4302.14
2020/7/2 13:03,4193.2,4223.6,-30.4,4302.17
2020/7/2 13:04,4198.2,4227.8,-29.6,4302.95
2020/7/2 13:05,4195.2,4224.0,-28.8,4306.56
2020/7/2 13:06,4191.6,4220.2,-28.6,4305.55
2020/7/2 13:07,4188.8,4217.0,-28.2,4301.93
2020/7/2 13:08,4193.0,4221.6,-28.6,4297.63
2020/7/2 13:09,4198.6,4228.0,-29.4,4296.85
2020/7/2 13:10,4197.2,4225.2,-28.0,4300.9
2020/7/2 13:11,4199.0,4226.2,-27.2,4302.55
2020/7/2 13:12,4205.0,4228.8,-23.8,4301.9
2020/7/2 13:13,4205.0,4226.8,-21.8,4301.65
2020/7/2 13:14,4207.0,4228.4,-21.4,4300.64
2020/7/2 13:15,4216.2,4235.6,-19.4,4300.75
2020/7/2 13:16,4224.2,4243.2,-19.0,4304.03
2020/7/2 13:17,4219.2,4240.8,-21.6,4307.12
2020/7/2 13:18,4217.8,4239.8,-22.0,4311.46
2020/7/2 13:19,4223.2,4244.2,-21.0,4312.74
2020/7/2 13:20,4219.6,4239.6,-20.0,4313.69
2020/7/2 13:21,4215.8,4235.4,-19.6,4314.74
2020/7/2 13:22,4217.6,4237.6,-20.0,4309.85
2020/7/2 13:23,4219.2,4240.0,-20.8,4308.35
2020/7/2 13:24,4222.8,4243.6,-20.8,4309.37
2020/7/2 13:25,4224.2,4245.0,-20.8,4311.3
2020/7/2 13:26,4219.4,4241.4,-22.0,4313.28
2020/7/2 13:27,4216.4,4240.2,-23.8,4314.32
2020/7/2 13:28,4220.0,4242.2,-22.2,4314.54
2020/7/2 13:29,4215.0,4238.2,-23.2,4313.59
2020/7/2 13:30,4213.2,4234.8,-21.6,4314.05
2020/7/2 13:31,4211.2,4232.0,-20.8,4310.48
2020/7/2 13:32,4213.4,4236.0,-22.6,4308.45
2020/7/2 13:33,4216.4,4238.0,-21.6,4306.26
2020/7/2 13:34,4210.4,4232.2,-21.8,4304.12
2020/7/2 13:35,4209.2,4231.4,-22.2,4304.24
2020/7/2 13:36,4204.0,4226.2,-22.2,4302.63
2020/7/2 13:37,4207.0,4230.2,-23.2,4300.61
2020/7/2 13:38,4206.0,4229.6,-23.6,4296.89
2020/7/2 13:39,4205.8,4229.8,-24.0,4296.89
2020/7/2 13:40,4208.6,4232.4,-23.8,4295.58
2020/7/2 13:41,4211.0,4237.8,-26.8,4294.96
2020/7/2 13:42,4212.8,4236.2,-23.4,4297.31
2020/7/2 13:43,4207.8,4232.6,-24.8,4300.76
2020/7/2 13:44,4212.6,4235.2,-22.6,4301.46
2020/7/2 13:45,4210.4,4235.4,-25.0,4301.15
2020/7/2 13:46,4215.6,4239.6,-24.0,4300.62
2020/7/2 13:47,4214.0,4238.4,-24.4,4303.16
2020/7/2 13:48,4214.2,4237.8,-23.6,4304.37
2020/7/2 13:49,4217.0,4239.8,-22.8,4305.32
2020/7/2 13:50,4216.0,4242.0,-26.0,4306.68
2020/7/2 13:51,4216.0,4240.2,-24.2,4307.38
2020/7/2 13:52,4214.6,4239.8,-25.2,4307.74
2020/7/2 13:53,4214.0,4239.0,-25.0,4307.85
2020/7/2 13:54,4212.0,4236.8,-24.8,4307.39
2020/7/2 13:55,4205.8,4233.0,-27.2,4307.06
2020/7/2 13:56,4205.6,4231.4,-25.8,4304.11
2020/7/2 13:57,4205.8,4232.0,-26.2,4301.81
2020/7/2 13:58,4206.8,4234.8,-28.0,4300.93
2020/7/2 13:59,4214.0,4238.6,-24.6,4300.62
2020/7/2 14:00,4211.8,4236.6,-24.8,4303.68
2020/7/2 14:01,4214.4,4240.2,-25.8,4304.33
2020/7/2 14:02,4212.2,4240.0,-27.8,4304.28
2020/7/2 14:03,4217.4,4244.0,-26.6,4305.78
2020/7/2 14:04,4218.6,4244.4,-25.8,4308.52
2020/7/2 14:05,4217.4,4242.4,-25.0,4308.43
2020/7/2 14:06,4219.6,4246.8,-27.2,4308.62
2020/7/2 14:07,4223.4,4250.6,-27.2,4307.69
2020/7/2 14:08,4228.2,4253.8,-25.6,4313.94
2020/7/2 14:09,4228.2,4252.6,-24.4,4315.22
2020/7/2 14:10,4224.4,4248.8,-24.4,4317.08
2020/7/2 14:11,4223.0,4246.0,-23.0,4315.91
2020/7/2 14:12,4227.4,4251.0,-23.6,4314.07
2020/7/2 14:13,4222.0,4246.2,-24.2,4312.7
2020/7/2 14:14,4223.0,4246.6,-23.6,4312.9
2020/7/2 14:15,4221.0,4247.6,-26.6,4310.64
2020/7/2 14:16,4223.4,4249.6,-26.2,4309.95
2020/7/2 14:17,4230.0,4256.2,-26.2,4311.76
2020/7/2 14:18,4235.0,4258.8,-23.8,4313.87
2020/7/2 14:19,4236.4,4260.2,-23.8,4317.25
2020/7/2 14:20,4235.0,4258.0,-23.0,4319.48
2020/7/2 14:21,4234.0,4257.6,-23.6,4319.38
2020/7/2 14:22,4234.6,4258.2,-23.6,4318.01
2020/7/2 14:23,4244.4,4264.8,-20.4,4318.73
2020/7/2 14:24,4245.2,4267.8,-22.6,4321.67
2020/7/2 14:25,4242.2,4261.2,-19.0,4323.7
2020/7/2 14:26,4244.8,4266.0,-21.2,4322.96
2020/7/2 14:27,4248.4,4270.0,-21.6,4322.97
2020/7/2 14:28,4255.2,4275.8,-20.6,4324.21
