,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
11930,13130,2020-12-07 13:50:00.000001,5018.8,5030.6,-11.8000000000001,-12.202773925104,-12.721565362198,0.4027739251038991,4,-1,0,243420.58252427346,0.0,214480.84624427345
11931,13131,2020-12-07 13:50:59.999997,5017.4,5028.6,-11.2000000000007,-12.2016643550624,-12.7207327227309,1.0016643550617008,4,-1,0,243420.58252427346,-179.99999999982032,214300.84624427362
11932,13132,2020-12-07 13:52:00.000002,5016.2,5028.6,-12.4000000000005,-12.2024965325936,-12.721565362198,-0.19750346740690006,3,-1,0,243420.58252427346,180.0000000001198,214660.84624427356
11933,13133,2020-12-07 13:52:59.999998,5017.4,5029.6,-12.2000000000007,-12.2036061026352,-12.7207327227309,0.0036061026345013403,4,-1,0,243420.58252427346,120.0000000001797,214600.84624427362
11934,13134,2020-12-07 13:54:00.000003,5018.6,5031.2,-12.5999999999994,-12.2061026352288,-12.721565362198,-0.39389736477059856,3,-1,0,243420.58252427346,239.9999999997897,214720.84624427324
11935,13135,2020-12-07 13:54:59.999999,5018.4,5032.0,-13.6000000000003,-12.2110957004161,-12.7230641132388,-1.3889042995841994,3,-1,0,243420.58252427346,540.0000000000599,215020.8462442735
11936,13136,2020-12-07 13:56:00.000004,5020.2,5032.2,-12.0,-12.2135922330097,-12.7220649458782,0.21359223300970065,4,-1,0,243420.58252427346,59.999999999969944,214540.84624427342
11937,13137,2020-12-07 13:57:00.000000,5020.2,5032.6,-12.4000000000005,-12.2152565880721,-12.7218984179848,-0.18474341192839994,3,-1,0,243420.58252427346,180.0000000001198,214660.84624427356
11938,13138,2020-12-07 13:57:59.999996,5020.4,5032.2,-11.8000000000001,-12.2158113730929,-12.7210657785177,0.41581137309279903,4,-1,0,243420.58252427346,0.0,214480.84624427345
11939,13139,2020-12-07 13:59:00.000001,5020.0,5032.4,-12.3999999999996,-12.2188626907073,-12.7207327227309,-0.18113730929229988,3,-1,0,243420.58252427346,179.99999999985016,214660.8462442733
11940,13140,2020-12-07 13:59:59.999997,5023.0,5035.8,-12.8000000000001,-12.2210818307905,-12.7192339716901,-0.5789181692096008,3,-1,0,243420.58252427346,300.0,214780.84624427345
11941,13141,2020-12-07 14:01:00.000002,5027.0,5038.0,-11.0,-12.2227461858529,-12.7165695253953,1.2227461858529,4,-1,0,243420.58252427346,-240.00000000003007,214240.84624427342
11942,13142,2020-12-07 14:01:59.999998,5027.0,5038.2,-11.1999999999998,-12.2221914008321,-12.7139050791005,1.0221914008323,4,-1,0,243420.58252427346,-180.00000000008995,214300.84624427336
11943,13143,2020-12-07 14:03:00.000003,5022.8,5035.8,-13.0,-12.225520110957,-12.7119067443795,-0.7744798890430005,3,-1,0,243420.58252427346,359.99999999996993,214840.84624427342
11944,13144,2020-12-07 14:03:59.999999,5023.2,5035.6,-12.4000000000005,-12.2263522884882,-12.7090757701913,-0.17364771151229874,3,-1,0,243420.58252427346,180.0000000001198,214660.84624427356
11945,13145,2020-12-07 14:05:00.000004,5021.6,5034.0,-12.3999999999996,-12.226907073509,-12.7074104912571,-0.17309292649060026,3,-1,0,243420.58252427346,179.99999999985016,214660.8462442733
11946,13146,2020-12-07 14:06:00.000000,5017.6,5030.0,-12.3999999999996,-12.226907073509,-12.7045795170689,-0.17309292649060026,3,-1,0,243420.58252427346,179.99999999985016,214660.8462442733
11947,13147,2020-12-07 14:06:59.999996,5013.8,5026.2,-12.3999999999996,-12.2280166435506,-12.7020815986676,-0.17198335644900098,3,-1,0,243420.58252427346,179.99999999985016,214660.8462442733
11948,13148,2020-12-07 14:08:00.000001,5014.8,5027.2,-12.3999999999996,-12.2288488210818,-12.7002497918399,-0.17115117891780152,3,-1,0,243420.58252427346,179.99999999985016,214660.8462442733
11949,13149,2020-12-07 14:08:59.999997,5016.8,5029.0,-12.1999999999998,-12.2302357836338,-12.699084096586,0.030235783633999702,4,-1,0,243420.58252427346,119.99999999991005,214600.84624427336
11950,13150,2020-12-07 14:10:00.000002,5022.8,5035.2,-12.3999999999996,-12.2327323162274,-12.6982514571189,-0.16726768377220047,3,-1,0,243420.58252427346,179.99999999985016,214660.8462442733
11951,13151,2020-12-07 14:10:59.999998,5027.4,5040.0,-12.6000000000003,-12.2360610263522,-12.6974188176518,-0.3639389736481,3,-1,0,243420.58252427346,240.0000000000599,214720.8462442735
11952,13152,2020-12-07 14:12:00.000003,5025.2,5038.4,-13.1999999999998,-12.2385575589459,-12.6975853455452,-0.9614424410539009,3,-1,0,243420.58252427346,419.9999999999101,214900.84624427336
11953,13153,2020-12-07 14:12:59.999999,5024.6,5038.2,-13.5999999999994,-12.2410540915395,-12.6974188176518,-1.3589459084598996,3,-1,0,243420.58252427346,539.9999999997897,215020.84624427324
11954,13154,2020-12-07 14:14:00.000004,5023.8,5037.2,-13.3999999999996,-12.2421636615811,-12.697918401332,-1.1578363384185,3,-1,0,243420.58252427346,479.99999999985016,214960.8462442733
11955,13155,2020-12-07 14:15:00.000000,5025.4,5037.4,-12.0,-12.2443828016643,-12.6970857618649,0.24438280166429927,4,-1,0,243420.58252427346,59.999999999969944,214540.84624427342
11956,13156,2020-12-07 14:15:59.999996,5026.0,5037.6,-11.6000000000003,-12.2457697642163,-12.694754371357,0.6457697642160003,4,-1,0,243420.58252427346,-59.9999999999401,214420.8462442735
11957,13157,2020-12-07 14:17:00.000001,5024.0,5037.2,-13.1999999999998,-12.249653259362,-12.6944213155702,-0.9503467406377997,3,-1,0,243420.58252427346,419.9999999999101,214900.84624427336
11958,13158,2020-12-07 14:17:59.999997,5020.2,5035.4,-15.1999999999998,-12.2543689320388,-12.6965861781846,-2.945631067961001,3,-1,0,243420.58252427346,1019.9999999999101,215500.84624427336
11959,13159,2020-12-07 14:19:00.000002,5020.0,5033.0,-13.0,-12.25520110957,-12.6969192339715,-0.7447988904299994,3,-1,0,243420.58252427346,359.99999999996993,214840.84624427342
11960,13160,2020-12-07 14:19:59.999998,5019.8,5033.0,-13.1999999999998,-12.2554785020804,-12.6987510407991,-0.9445214979193999,3,-1,0,243420.58252427346,419.9999999999101,214900.84624427336
11961,13161,2020-12-07 14:21:00.000003,5016.4,5029.4,-13.0,-12.2571428571428,-12.6992506244794,-0.7428571428572006,3,-1,0,243420.58252427346,359.99999999996993,214840.84624427342
11962,13162,2020-12-07 14:21:59.999999,5018.2,5030.4,-12.1999999999998,-12.257975034674,-12.699084096586,0.05797503467420029,4,-1,0,243420.58252427346,119.99999999991005,214600.84624427336
11963,13163,2020-12-07 14:23:00.000004,5015.0,5028.0,-13.0,-12.2615811373092,-12.7000832639465,-0.7384188626907999,3,-1,0,243420.58252427346,359.99999999996993,214840.84624427342
11964,13164,2020-12-07 14:24:00.000000,5016.0,5029.8,-13.8000000000001,-12.2651872399445,-12.7019150707742,-1.5348127600555994,3,-1,0,243420.58252427346,600.0,215080.84624427345
11965,13165,2020-12-07 14:24:59.999996,5018.0,5031.4,-13.3999999999996,-12.2693481276005,-12.7020815986676,-1.1306518723991008,3,-1,0,243420.58252427346,479.99999999985016,214960.8462442733
11966,13166,2020-12-07 14:26:00.000001,5017.2,5030.8,-13.6000000000003,-12.2732316227461,-12.7005828476268,-1.3267683772542007,3,-1,0,243420.58252427346,540.0000000000599,215020.8462442735
11967,13167,2020-12-07 14:26:59.999997,5017.6,5030.2,-12.5999999999994,-12.2757281553398,-12.6997502081597,-0.3242718446595987,3,-1,0,243420.58252427346,239.9999999997897,214720.84624427324
11968,13168,2020-12-07 14:28:00.000002,5018.8,5031.2,-12.3999999999996,-12.2773925104022,-12.6999167360531,-0.1226074895974012,3,-1,0,243420.58252427346,179.99999999985016,214660.8462442733
11969,13169,2020-12-07 14:28:59.999998,5017.8,5031.0,-13.1999999999998,-12.2804438280166,-12.7014154870939,-0.919556171983201,3,-1,0,243420.58252427346,419.9999999999101,214900.84624427336
