,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
12830,14030,2020-12-11 11:19:59.999998,4876.0,4891.6,-15.6000000000003,-13.3079056865464,-12.9142381348874,-2.2920943134539,3,2,76.18728,602521.1650485484,-360.0000000001799,499067.576008548
12831,14031,2020-12-11 11:21:00.000003,4869.8,4885.4,-15.5999999999994,-13.3140083217752,-12.9164029975019,-2.2859916782241996,3,2,0,602521.1650485484,-359.99999999963956,499067.5760085486
12832,14032,2020-12-11 11:21:59.999999,4858.6,4874.2,-15.5999999999994,-13.3209431345353,-12.9162364696085,-2.2790568654640992,3,2,0,602521.1650485484,-359.99999999963956,499067.5760085486
12833,14033,2020-12-11 11:23:00.000004,4853.0,4872.4,-19.3999999999996,-13.3350901525658,-12.9202331390506,-6.0649098474338015,0,4,151.71624,602521.1650485484,-2639.9999999997603,496635.8597685485
12834,14034,2020-12-11 11:24:00.000000,4844.4,4863.2,-18.8000000000001,-13.3470180305131,-12.9240632805993,-5.452981969487,1,4,0,602521.1650485484,-1920.0000000003597,497355.85976854793
12835,14035,2020-12-11 11:24:59.999996,4853.6,4871.0,-17.3999999999996,-13.357281553398,-12.9262281432138,-4.042718446601601,2,3,75.85188,603121.1650485484,-839.9999999997603,498960.00788854854
12836,14036,2020-12-11 11:26:00.000001,4858.0,4874.4,-16.3999999999996,-13.3647711511788,-12.9277268942546,-3.0352288488208004,2,3,0,603121.1650485484,60.000000000239595,499860.00788854854
12837,14037,2020-12-11 11:26:59.999997,4857.6,4873.8,-16.1999999999998,-13.3722607489597,-12.9293921731888,-2.8277392510401,2,3,0,603121.1650485484,240.00000000006096,500040.0078885484
12838,14038,2020-12-11 11:28:00.000002,4860.2,4877.0,-16.8000000000001,-13.3819694868238,-12.9330557868441,-3.4180305131762996,2,3,0,603121.1650485484,-300.000000000211,499500.0078885481
12839,14039,2020-12-11 11:28:59.999998,4859.8,4875.0,-15.1999999999998,-13.3891816920942,-12.935387177352,-1.8108183079056008,3,2,75.93144,604381.1650485483,-119.9999999998802,500864.0764485483
12840,14040,2020-12-11 13:00:00.000003,4863.2,4879.0,-15.8000000000001,-13.3952843273231,-12.9375520399665,-2.404715672677,3,2,0,604381.1650485483,-480.00000000006014,500504.07644854806
12841,14041,2020-12-11 13:00:59.999999,4857.6,4871.8,-14.1999999999998,-13.3988904299583,-12.938551207327,-0.8011095700415005,4,1,75.88932000000001,604921.1650485484,-59.9999999999401,501388.1871285484
12842,14042,2020-12-11 13:02:00.000004,4861.8,4877.4,-15.5999999999994,-13.4044382801663,-12.9407160699415,-2.1955617198330994,3,1,0,604921.1650485484,-479.99999999981975,500968.1871285485
12843,14043,2020-12-11 13:03:00.000000,4861.8,4878.4,-16.5999999999994,-13.4133148404992,-12.9435470441297,-3.1866851595002004,2,2,75.97355999999999,604921.1650485484,-779.9999999998203,500592.2135685485
12844,14044,2020-12-11 13:03:59.999996,4868.0,4884.0,-16.0,-13.4188626907073,-12.9463780183179,-2.5811373092927,3,2,0,604921.1650485484,-420.0000000001797,500952.21356854803
12845,14045,2020-12-11 13:05:00.000001,4875.2,4891.0,-15.8000000000001,-13.4252427184465,-12.9485428809323,-2.3747572815536007,3,2,0,604921.1650485484,-300.0000000002398,501072.21356854803
12846,14046,2020-12-11 13:05:59.999997,4874.2,4890.8,-16.6000000000003,-13.4319001386962,-12.9515403830139,-3.1680998613041,2,2,0,604921.1650485484,-780.0000000003596,500592.2135685479
12847,14047,2020-12-11 13:07:00.000002,4874.4,4891.8,-17.4000000000005,-13.4410540915394,-12.9538717735219,-3.9589459084611,2,2,0,604921.1650485484,-1260.0000000004793,500112.2135685478
12848,14048,2020-12-11 13:07:59.999998,4877.6,4894.8,-17.1999999999998,-13.4490984743411,-12.9568692756035,-3.7509015256586995,2,2,0,604921.1650485484,-1140.0000000000598,500232.21356854815
12849,14049,2020-12-11 13:09:00.000003,4883.0,4899.2,-16.1999999999998,-13.4571428571428,-12.9577019150706,-2.742857142857,2,2,0,604921.1650485484,-540.0000000000599,500832.21356854815
12850,14050,2020-12-11 13:09:59.999999,4879.4,4897.0,-17.6000000000003,-13.4674063800277,-12.9605328892587,-4.132593619972599,2,2,0,604921.1650485484,-1380.0000000003597,499992.2135685479
12851,14051,2020-12-11 13:11:00.000004,4876.6,4892.8,-16.1999999999998,-13.4754507628293,-12.9615320566193,-2.7245492371705,2,2,0,604921.1650485484,-540.0000000000599,500832.21356854815
12852,14052,2020-12-11 13:12:00.000000,4874.8,4890.0,-15.1999999999998,-13.4804438280166,-12.9626977518732,-1.7195561719832,3,2,0,604921.1650485484,59.9999999999401,501432.21356854815
12853,14053,2020-12-11 13:12:59.999996,4868.6,4886.8,-18.1999999999998,-13.489042995839,-12.9651956702746,-4.7109570041608,1,3,76.09212000000001,604921.1650485484,-1740.000000000059,499556.12144854816
12854,14054,2020-12-11 13:14:00.000001,4873.2,4888.4,-15.1999999999998,-13.4937586685159,-12.9670274771022,-1.7062413314839002,3,2,76.14047999999998,605821.1650485484,59.9999999999401,502179.98096854816
12855,14055,2020-12-11 13:14:59.999997,4876.2,4892.0,-15.8000000000001,-13.4981969486823,-12.9680266444627,-2.3018030513177994,3,2,0,605821.1650485484,-300.0000000002398,501819.98096854804
12856,14056,2020-12-11 13:16:00.000002,4872.8,4890.0,-17.1999999999998,-13.5056865464632,-12.9701915070772,-3.6943134535365996,2,2,0,605821.1650485484,-1140.0000000000598,500979.98096854816
12857,14057,2020-12-11 13:16:59.999998,4875.0,4890.4,-15.3999999999996,-13.5092926490984,-12.971690258118,-1.8907073509012005,3,2,0,605821.1650485484,-59.9999999999401,502059.9809685484
12858,14058,2020-12-11 13:18:00.000003,4875.6,4893.2,-17.5999999999994,-13.5176144244105,-12.9746877601996,-4.082385575588901,2,2,0,605821.1650485484,-1379.9999999998204,500739.9809685485
12859,14059,2020-12-11 13:18:59.999999,4869.4,4885.6,-16.2000000000007,-13.5228848821081,-12.9765195670273,-2.6771151178925994,2,2,0,605821.1650485484,-540.0000000005992,501579.9809685477
12860,14060,2020-12-11 13:20:00.000004,4866.0,4884.4,-18.3999999999996,-13.5298196948682,-12.9795170691089,-4.8701803051314005,1,3,76.05311999999999,605821.1650485484,-1859.999999999939,500183.9278485484
12861,14061,2020-12-11 13:21:00.000000,4867.0,4883.8,-16.8000000000001,-13.5361997226074,-12.9811823480431,-3.2638002773927006,2,3,0,605821.1650485484,-420.00000000038966,501623.92784854793
12862,14062,2020-12-11 13:21:59.999996,4869.4,4885.2,-15.8000000000001,-13.541470180305,-12.982348043297,-2.2585298196951005,3,2,76.08587999999999,606601.1650485483,-300.0000000002398,502447.8419685479
12863,14063,2020-12-11 13:23:00.000001,4867.0,4883.4,-16.3999999999996,-13.5481276005547,-12.9836802664444,-2.8518723994449005,2,2,0,606601.1650485483,-659.9999999999401,502087.84196854825
12864,14064,2020-12-11 13:23:59.999997,4865.2,4880.8,-15.6000000000003,-13.5520110957003,-12.9838467943378,-2.0479889043000004,3,2,0,606601.1650485483,-180.0000000003596,502567.8419685478
12865,14065,2020-12-11 13:25:00.000002,4864.0,4879.4,-15.3999999999996,-13.5564493758668,-12.9850124895918,-1.843550624132801,3,2,0,606601.1650485483,-59.9999999999401,502687.84196854825
12866,14066,2020-12-11 13:25:59.999998,4864.2,4879.2,-15.0,-13.5592233009708,-12.9863447127392,-1.4407766990292004,3,2,0,606601.1650485483,179.99999999982032,502927.8419685479
12867,14067,2020-12-11 13:27:00.000003,4861.2,4876.4,-15.1999999999998,-13.5633841886268,-12.9873438800997,-1.6366158113729998,3,2,0,606601.1650485483,59.9999999999401,502807.841968548
12868,14068,2020-12-11 13:27:59.999999,4858.6,4874.2,-15.5999999999994,-13.5680998613037,-12.9883430474602,-2.0319001386956987,3,2,0,606601.1650485483,-179.99999999981924,502567.84196854837
12869,14069,2020-12-11 13:29:00.000004,4862.0,4878.0,-16.0,-13.5739251040221,-12.9890091590339,-2.4260748959778997,3,2,0,606601.1650485483,-420.0000000001797,502327.8419685479
12870,14070,2020-12-11 13:30:00.000000,4861.8,4876.8,-15.0,-13.5789181692093,-12.9893422148208,-1.4210818307906994,3,2,0,606601.1650485483,179.99999999982032,502927.8419685479
12871,14071,2020-12-11 13:30:59.999996,4868.0,4882.0,-14.0,-13.582801664355,-12.9886761032471,-0.41719833564500064,4,1,76.05,607381.165048548,0.0,503451.7919685479
12872,14072,2020-12-11 13:32:00.000001,4859.8,4875.2,-15.3999999999996,-13.586962552011,-12.9905079100747,-1.8130374479886004,3,1,0,607381.165048548,-419.9999999998802,503031.79196854803
12873,14073,2020-12-11 13:32:59.999997,4858.6,4873.0,-14.3999999999996,-13.5900138696254,-12.9896752706076,-0.8099861303742006,4,1,0,607381.165048548,-119.9999999998802,503331.79196854803
12874,14074,2020-12-11 13:34:00.000002,4860.4,4877.6,-17.2000000000007,-13.5988904299583,-12.9916736053287,-3.6011095700423983,2,2,75.9564,607381.165048548,-960.0000000002098,502415.8355685477
