,datetime,IF1009,IF1006,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
0,2010-04-22 14:57:00,3313.6,3264.0,49.6,51.418307905686554,54.98934221482098,-1.8183079056865523,3,1,0,0,234.50762829403473,234.50762829403473
1,2010-04-22 14:58:00,3313.6,3264.6,49.0,51.39361997226075,54.96719400499583,-2.393619972260751,3,1,0,0,54.507628294034305,54.507628294034305
2,2010-04-22 14:59:00,3315.8,3265.0,50.8,51.371428571428574,54.95287260616153,-0.5714285714285765,4,1,0,0,594.5076282940335,594.5076282940335
3,2010-04-23 09:30:00,3333.0,3283.8,49.2,51.366990291262134,54.93572023313905,-2.166990291262131,3,1,0,0,114.50762829403516,114.50762829403516
4,2010-04-23 09:31:00,3333.0,3283.0,50.0,51.36393897364771,54.91223980016653,-1.3639389736477128,3,1,0,0,354.5076282940343,354.5076282940343
5,2010-04-23 09:32:00,3336.8,3284.0,52.8,51.36920943134535,54.89358867610324,1.4307905686546505,5,0,51.642239999999994,1194.5076282940336,0.0,1142.8653882940337
6,2010-04-23 09:33:00,3340.0,3288.0,52.0,51.37337031900138,54.87643630308077,0.6266296809986187,4,0,0,1194.5076282940336,0.0,1142.8653882940337
7,2010-04-23 09:34:00,3340.6,3289.8,50.8,51.3742024965326,54.85462114904246,-0.5742024965325996,4,0,0,1194.5076282940336,0.0,1142.8653882940337
8,2010-04-23 09:35:00,3341.0,3288.8,52.2,51.38002773925104,54.83547044129891,0.8199722607489619,5,0,0,1194.5076282940336,0.0,1142.8653882940337
9,2010-04-23 09:36:00,3341.0,3289.2,51.8,51.38474341192788,54.81781848459618,0.4152565880721184,4,0,0,1194.5076282940336,0.0,1142.8653882940337
10,2010-04-23 09:37:00,3339.0,3288.0,51.0,51.387517337031895,54.804496253122394,-0.3875173370318947,4,0,0,1194.5076282940336,0.0,1142.8653882940337
11,2010-04-23 09:38:00,3339.8,3288.0,51.8,51.38945908460472,54.7901748542881,0.4105409153952806,4,0,0,1194.5076282940336,0.0,1142.8653882940337
12,2010-04-23 09:39:00,3338.6,3288.0,50.6,51.387517337031895,54.77418817651956,-0.7875173370318933,4,0,0,1194.5076282940336,0.0,1142.8653882940337
13,2010-04-23 09:40:00,3342.0,3288.6,53.4,51.39223300970874,54.76036636136553,2.007766990291259,5,0,0,1194.5076282940336,0.0,1142.8653882940337
14,2010-04-23 09:41:00,3338.6,3286.6,52.0,51.393342579750346,54.744046627810164,0.606657420249654,4,0,0,1194.5076282940336,0.0,1142.8653882940337
15,2010-04-23 09:42:00,3338.6,3284.0,54.6,51.39500693481276,54.73039134054955,3.2049930651872387,6,-1,51.656279999999995,1194.5076282940336,0.0,1091.2091082940335
16,2010-04-23 09:43:00,3336.0,3285.4,50.6,51.391955617198334,54.71323896752707,-0.7919556171983331,4,0,51.646919999999994,2394.5076282940336,0.0,2239.5621882940336
17,2010-04-23 09:44:00,3336.0,3283.0,53.0,51.39361997226075,54.69758534554537,1.6063800277392488,5,0,0,2394.5076282940336,0.0,2239.5621882940336
18,2010-04-23 09:45:00,3336.0,3285.0,51.0,51.39361997226075,54.680266444629474,-0.3936199722607512,4,0,0,2394.5076282940336,0.0,2239.5621882940336
19,2010-04-23 09:46:00,3333.8,3283.2,50.6,51.3880721220527,54.6654454621149,-0.7880721220526965,4,0,0,2394.5076282940336,0.0,2239.5621882940336
20,2010-04-23 09:47:00,3335.0,3281.6,53.4,51.392787794729536,54.6534554537885,2.007212205270463,5,0,0,2394.5076282940336,0.0,2239.5621882940336
21,2010-04-23 09:48:00,3335.0,3282.2,52.8,51.39556171983356,54.640632805995,1.4044382801664383,5,0,0,2394.5076282940336,0.0,2239.5621882940336
22,2010-04-23 09:49:00,3332.2,3281.0,51.2,51.393342579750346,54.62747710241466,-0.1933425797503432,4,0,0,2394.5076282940336,0.0,2239.5621882940336
23,2010-04-23 09:50:00,3331.2,3280.6,50.6,51.391123439667126,54.611656952539555,-0.7911234396671247,4,0,0,2394.5076282940336,0.0,2239.5621882940336
