,datetime,IF2012,IF2009,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account
0,2020-06-23 09:30:00,3966.4,3997.8,-31.4,-37.83439667128987,-47.23014154870941,6.434396671289875,6,-2,0,0,-774.9237170596373,-774.9237170596373
1,2020-06-23 09:31:00,3980.0,4011.0,-31.0,-37.8011095700416,-47.205162364696086,6.8011095700416035,6,-2,0,0,-1014.9237170596365,-1014.9237170596365
2,2020-06-23 09:32:00,3980.0,4011.0,-31.0,-37.76699029126213,-47.18084929225646,6.7669902912621325,6,-2,0,0,-1014.9237170596365,-1014.9237170596365
3,2020-06-23 09:33:00,3982.2,4013.2,-31.0,-37.73509015256588,-47.15836802664446,6.735090152565881,6,-2,0,0,-1014.9237170596365,-1014.9237170596365
4,2020-06-23 09:34:00,3982.0,4011.8,-29.8,-37.7004160887656,-47.13338884263114,7.900416088765599,6,-2,0,0,-1734.9237170596361,-1734.9237170596361
5,2020-06-23 09:35:00,3981.4,4010.4,-29.0,-37.664355062413314,-47.10624479600333,8.664355062413314,7,-2,0,0,-2214.9237170596366,-2214.9237170596366
6,2020-06-23 09:36:00,3983.0,4013.8,-30.8,-37.63134535367545,-47.07993338884263,6.831345353675449,6,-2,0,0,-1134.9237170596361,-1134.9237170596361
7,2020-06-23 09:37:00,3982.4,4012.8,-30.4,-37.59916782246879,-47.054121565362195,7.1991678224687945,6,-2,0,0,-1374.9237170596373,-1374.9237170596373
8,2020-06-23 09:38:00,3978.4,4009.0,-30.6,-37.56671289875174,-47.02847626977519,6.966712898751737,6,-2,0,0,-1254.9237170596357,-1254.9237170596357
9,2020-06-23 09:39:00,3975.2,4005.2,-30.0,-37.53398058252428,-47.0029975020816,7.533980582524279,6,-2,0,0,-1614.9237170596366,-1614.9237170596366
10,2020-06-23 09:40:00,3976.8,4008.0,-31.2,-37.500693481276,-46.977352206494594,6.300693481276003,6,-2,0,0,-894.9237170596369,-894.9237170596369
11,2020-06-23 09:41:00,3973.2,4002.0,-28.8,-37.46435506241331,-46.951706910907575,8.66435506241331,7,-2,0,0,-2334.923717059636,-2334.923717059636
