,index,datetime,IF2103,IF2012,spread,avg3,avg5,gap,grid,hold,service,bag,revenue,account,,,,,,,
43,1243,13:00.0,4608,4662.4,-54.4,-64.58918169,-62.95320566,10.18918169,3,-1,0,0,2.4,-70.4676,,,,,,,
44,1244,14:00.0,4606.8,4658,-51.2,-64.56865465,-62.9510408,13.36865465,3,-1,0,0,-0.8,-73.6676,,,,,,,
45,1245,15:00.0,4607.6,4661,-53.4,-64.5520111,-62.95137386,11.1520111,3,-1,0,0,1.4,-71.4676,,,,,,,
46,1246,16:00.0,4607.2,4660.6,-53.4,-64.53730929,-62.94920899,11.13730929,3,-1,0,0,1.4,-71.4676,,,,,,,
47,1247,17:00.0,4606.4,4659.2,-52.8,-64.52149792,-62.94721066,11.72149792,3,-1,0,0,0.8,-72.0676,,,,,,,
48,1248,18:00.0,4606.2,4660,-53.8,-64.50624133,-62.94471274,10.70624133,3,-1,0,0,1.8,-71.0676,,,,,,,
49,1249,19:00.0,4605.8,4659,-53.2,-64.48848821,-62.94254788,11.28848821,3,-1,0,0,1.2,-71.6676,,,,,,,
50,1250,20:00.0,4606.8,4660,-53.2,-64.4740638,-62.94204829,11.2740638,3,-1,0,0,1.2,-71.6676,,,,,,,
51,1251,21:00.0,4605.4,4657.8,-52.4,-64.45769764,-62.94038301,12.05769764,3,-1,0,0,0.4,-72.4676,,,,,,,
52,1252,22:00.0,4604.6,4658,-53.4,-64.44271845,-62.93938385,11.04271845,3,-1,0,0,1.4,-71.4676,,,,,,,
53,1253,23:00.0,4604.6,4658.8,-54.2,-64.42912621,-62.93955037,10.22912621,3,-1,0,0,2.2,-70.6676,,,,,,,
54,1254,24:00.0,4601,4654.4,-53.4,-64.41608877,-62.93755204,11.01608877,3,-1,0,0,1.4,-71.4676,,,,,,,
55,1255,25:00.0,4602.2,4654.2,-52,-64.3963939,-62.93472107,12.3963939,3,-1,0,0,0,-72.8676,,,,,,,
56,1256,26:00.0,4599.2,4653.2,-54,-64.38252427,-62.9337219,10.38252427,3,-1,0,0,2,-70.8676,,,,,,,
57,1257,27:00.0,4601.8,4656,-54.2,-64.36699029,-62.93222315,10.16699029,3,-1,0,0,2.2,-70.6676,,,,,,,
58,1258,28:00.0,4600.4,4654.2,-53.8,-64.35117892,-62.93155704,10.55117892,3,-1,0,0,1.8,-71.0676,,,,,,,
59,1259,29:00.0,4605.2,4657.2,-52,-64.33564494,-62.92805995,12.33564494,3,-1,0,0,0,-72.8676,,,,,,,
60,1260,30:00.0,4607,4660,-53,-64.31872399,-62.92472939,11.31872399,3,-1,0,0,1,-71.8676,,,,,,,
61,1261,31:00.0,4604.6,4657.6,-53,-64.30402219,-62.92056619,11.30402219,3,-1,0,0,1,-71.8676,,,,,,,
62,1262,32:00.0,4601.8,4654.6,-52.8,-64.28543689,-62.91606994,11.48543689,3,-1,0,0,0.8,-72.0676,,,,,,,
63,1263,33:00.0,4602.4,4654,-51.6,-64.26629681,-62.91157369,12.66629681,3,-1,0,0,-0.4,-73.2676,,,,,,,
64,1264,34:00.0,4601,4652.8,-51.8,-64.24743412,-62.90657785,12.44743412,3,-1,0,0,-0.2,-73.0676,,,,,,,
65,1265,35:00.0,4603.2,4656.2,-53,-64.23217753,-62.90424646,11.23217753,3,-1,0,0,1,-71.8676,,,,,,,
